method,class_id,class_name,content_path,style_path,out_path
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11318.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14422.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_001.png
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11764.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14422.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_002.png
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11395.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14473.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_003.png
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11250.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14473.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_004.png
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11529.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14713.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_005.png
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11291.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14713.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_006.png
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11026.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14225.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_007.png
NST-LBFGS-v2,5,Корневая гниль,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11432.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/14225.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Корневая_гниль_nst_008.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11318.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10624.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_001.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11026.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10624.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_002.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11432.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10581.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_003.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11764.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10581.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_004.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11286.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10535.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_005.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10905.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10535.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_006.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11116.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10668.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_007.png
NST-LBFGS-v2,6,Септориоз,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11595.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10668.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Септориоз_nst_008.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11592.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12685.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_001.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10220.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12685.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_002.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11291.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12421.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_003.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/9941.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12421.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_004.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11395.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12509.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_005.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10307.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12509.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_006.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10333.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12772.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_007.png
NST-LBFGS-v2,7,Недостаток N,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10956.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/12772.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Недостаток_N_nst_008.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11348.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13513.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_001.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10237.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13513.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_002.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11395.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13525.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_003.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10284.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13525.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_004.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11376.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13504.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_005.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/11764.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13504.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_006.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10274.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13659.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_007.png
NST-LBFGS-v2,8,Повреждение заморозками,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/10273.jpg,/home/vanusha/diplom/diploma-plant-disease/code/data/dataset/train/images/13659.jpg,/home/vanusha/diplom/diploma-plant-disease/code/results/task_06/nst_v2/Повреждение_заморозками_nst_008.png
