epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,6.71525,5.51084,0.35718,0.32244,0.26382,0.1467,0.00332842,192.691
2,6.403919999999999,6.67987,0.28747,0.24484,0.1753,0.08556,0.00659581,365.518
3,7.14304,8.24971,0.21427,0.19065,0.10991,0.04608,0.00979719,532.36
4,7.30227,6.761340000000001,0.33149,0.24505,0.1869,0.08672,0.009703,696.798
5,6.81238,6.42501,0.33175,0.25058,0.21643,0.10658,0.009604,864.388
6,6.45364,6.0166900000000005,0.34465,0.28792,0.24173,0.12723,0.009505,1032.92
7,6.14657,5.91691,0.41232,0.31256,0.28289,0.14733,0.009406,1199.0
8,5.87524,5.871619999999999,0.36464,0.34801,0.28924,0.1515,0.009307,1360.6
9,5.64441,5.70362,0.40034,0.3372,0.29845,0.16395,0.009208,1521.83
10,5.41047,5.55631,0.44296,0.35041,0.34154,0.18325,0.009109,1683.18
11,5.2079,5.55305,0.41605,0.37158,0.327,0.17894,0.00901,1845.88
12,5.04263,5.5638,0.44756,0.35213,0.33227,0.18254,0.008911,2008.17
13,4.8319,5.44836,0.46327,0.38514,0.35475,0.19158,0.008812,2170.13
14,4.64113,5.53778,0.46167,0.38859,0.35239,0.19497,0.008713,2332.75
15,4.46763,5.4944,0.46255,0.39567,0.37295,0.19939,0.008614,2493.63
16,4.29343,5.53634,0.44011,0.3848,0.36085,0.19949,0.008515,2655.85
17,4.11635,5.42371,0.4891,0.38119,0.37629,0.20235,0.008416,2819.71
18,3.9299,5.51836,0.47835,0.38883,0.3726,0.20508,0.008317,2983.24
19,3.77064,5.56383,0.4559,0.40023,0.37029,0.20066,0.008218,3146.35
20,3.59735,5.65712,0.50374,0.36417,0.36811,0.20055,0.008119,3308.28
21,3.47889,5.70796,0.45556,0.39184,0.3666,0.20147,0.00802,3472.21
22,3.31843,5.7077,0.4884,0.3746,0.37232,0.20678,0.007921,3634.22
23,3.20094,5.77879,0.47825,0.40048,0.37511,0.20537,0.007822,3795.75
24,3.08,5.86196,0.477,0.37788,0.356,0.19459,0.007723,3958.54
25,2.97961,5.87986,0.50076,0.37893,0.36984,0.2024,0.007624,4122.66
26,2.85869,5.98133,0.48751,0.36702,0.36442,0.19855,0.007525,4285.62
27,2.76802,6.06123,0.46619,0.38733,0.36522,0.19742,0.007426,4447.75
28,2.67497,6.1115200000000005,0.49665,0.37251,0.3649,0.20031,0.007327,4608.79
29,2.59337,6.1535,0.50977,0.35403,0.35617,0.19493,0.007228,4766.14
30,2.52712,6.174989999999999,0.48755,0.37112,0.35497,0.19682,0.007129,4921.9
31,2.46264,6.227790000000001,0.44238,0.4024,0.35688,0.19815,0.00703,5077.29
32,2.38946,6.2548,0.51859,0.35765,0.35109,0.19462,0.006931,5232.67
33,2.31895,6.27276,0.45733,0.38363,0.35414,0.19814,0.006832,5387.87
34,2.27463,6.30043,0.47184,0.36512,0.35125,0.19525,0.006733,5543.16
35,2.22021,6.27652,0.51029,0.36381,0.36407,0.20174,0.006634,5698.52
36,2.17024,6.381119999999999,0.51236,0.36136,0.36679,0.2032,0.006535,5853.8
37,2.10835,6.354189999999999,0.52301,0.36428,0.37359,0.21105,0.006436,6009.09
38,2.07796,6.40438,0.53265,0.34698,0.35709,0.20188,0.006337,6164.54
39,2.03386,6.41417,0.47839,0.3685,0.36159,0.2035,0.006238,6319.84
40,1.99889,6.406370000000001,0.4774,0.3881,0.36798,0.20904,0.006139,6475.19
41,1.94359,6.48358,0.4867,0.36783,0.3587,0.20571,0.00604,6630.43
42,1.92194,6.45991,0.50833,0.3591,0.36326,0.2068,0.005941,6786.17
43,1.8785,6.4884,0.5169,0.3573,0.36702,0.21041,0.005842,6941.53
44,1.83387,6.48331,0.49503,0.37305,0.36838,0.21151,0.005743,7098.89
