epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.691,1.78822,3.02887,1.89816,0.589347,0.532026,0.435303,0.242055,1.68362,2.19461,1.63261,0.00332842,0.00332842,0.00332842
2,365.518,1.87087,2.59868,1.93437,0.47432549999999996,0.40398599999999996,0.28924500000000003,0.141174,1.97123,2.78754,1.9211,0.00659581,0.00659581,0.00659581
3,532.36,2.05783,2.94726,2.13795,0.35354549999999996,0.3145725,0.18135149999999997,0.076032,2.28495,3.75882,2.20594,0.00979719,0.00979719,0.00979719
4,696.798,2.09678,3.00495,2.20054,0.5469585,0.4043325,0.308385,0.143088,2.03521,2.68288,2.04325,0.009703,0.009703,0.009703
5,864.388,1.97352,2.7448,2.09406,0.5473874999999999,0.413457,0.3571095,0.17585699999999999,1.96745,2.49059,1.96697,0.009604,0.009604,0.009604
6,1032.92,1.88619,2.54861,2.01884,0.5686725,0.475068,0.3988545,0.2099295,1.82827,2.34794,1.84048,0.009505,0.009505,0.009505
7,1199.0,1.81219,2.38135,1.95303,0.680328,0.515724,0.4667684999999999,0.24309449999999996,1.84045,2.23017,1.84629,0.009406,0.009406,0.009406
8,1360.6,1.74301,2.23976,1.89247,0.601656,0.5742164999999999,0.47724599999999995,0.24997499999999997,1.81413,2.22347,1.83402,0.009307,0.009307,0.009307
9,1521.83,1.68702,2.11502,1.84237,0.660561,0.55638,0.49244249999999995,0.2705175,1.77805,2.12233,1.80324,0.009208,0.009208,0.009208
10,1683.18,1.62953,1.99678,1.78416,0.730884,0.5781765,0.563541,0.3023625,1.76329,2.02201,1.77101,0.009109,0.009109,0.009109
11,1845.88,1.57583,1.88828,1.74379,0.6864824999999999,0.613107,0.53955,0.295251,1.74267,2.04342,1.76696,0.00901,0.00901,0.00901
12,2008.17,1.5324,1.80315,1.70708,0.738474,0.5810145,0.5482454999999999,0.301191,1.73654,2.05945,1.76781,0.008911,0.008911,0.008911
13,2170.13,1.47422,1.69772,1.65996,0.7643955,0.635481,0.5853375,0.31610699999999997,1.74896,1.93364,1.76576,0.008812,0.008812,0.008812
14,2332.75,1.42498,1.59936,1.61679,0.7617555,0.6411735,0.5814434999999999,0.3217005,1.76191,2.00438,1.77149,0.008713,0.008713,0.008713
15,2493.63,1.37491,1.51453,1.57819,0.7632075,0.6528555,0.6153675,0.3289935,1.75757,1.95888,1.77795,0.008614,0.008614,0.008614
16,2655.85,1.3252,1.43225,1.53598,0.7261814999999999,0.6349199999999999,0.5954025,0.32915849999999997,1.75574,1.98829,1.79231,0.008515,0.008515,0.008515
17,2819.71,1.27884,1.3397,1.49781,0.8070149999999999,0.6289634999999999,0.6208785,0.3338775,1.7387,1.90837,1.77664,0.008416,0.008416,0.008416
18,2983.24,1.22614,1.25143,1.45233,0.7892775,0.6415695,0.61479,0.338382,1.76081,1.95241,1.80514,0.008317,0.008317,0.008317
19,3146.35,1.1849,1.16708,1.41866,0.752235,0.6603794999999999,0.6109785,0.33108899999999997,1.77637,1.96055,1.82691,0.008218,0.008218,0.008218
20,3308.28,1.13219,1.08631,1.37885,0.8311709999999999,0.6008804999999999,0.6073814999999999,0.33090749999999997,1.79252,2.01048,1.85412,0.008119,0.008119,0.008119
21,3472.21,1.09639,1.03335,1.34915,0.751674,0.646536,0.6048899999999999,0.3324255,1.79391,2.05356,1.86049,0.00802,0.00802,0.00802
22,3634.22,1.04551,0.96327,1.30965,0.8058599999999999,0.6180899999999999,0.614328,0.34118699999999996,1.80796,2.00324,1.8965,0.007921,0.007921,0.007921
23,3795.75,1.00943,0.91067,1.28084,0.7891125,0.6607919999999999,0.6189315,0.33886049999999995,1.80911,2.06991,1.89977,0.007822,0.007822,0.007822
24,3958.54,0.97377,0.85234,1.25389,0.7870499999999999,0.623502,0.5873999999999999,0.3210735,1.82535,2.12017,1.91644,0.007723,0.007723,0.007723
25,4122.66,0.93812,0.81496,1.22653,0.8262539999999999,0.6252344999999999,0.610236,0.33396,1.81967,2.12354,1.93665,0.007624,0.007624,0.007624
26,4285.62,0.90062,0.75888,1.19919,0.8043914999999999,0.605583,0.601293,0.3276075,1.83512,2.18266,1.96355,0.007525,0.007525,0.007525
27,4447.75,0.87085,0.72233,1.17484,0.7692135,0.6390945,0.602613,0.325743,1.86481,2.1945,2.00192,0.007426,0.007426,0.007426
28,4608.79,0.83856,0.68436,1.15205,0.8194724999999999,0.6146415,0.602085,0.33051149999999996,1.85502,2.24192,2.01458,0.007327,0.007327,0.007327
29,4766.14,0.80886,0.65544,1.12907,0.8411204999999998,0.5841495,0.5876804999999999,0.3216345,1.85903,2.27286,2.02161,0.007228,0.007228,0.007228
30,4921.9,0.78674,0.62806,1.11232,0.8044574999999999,0.612348,0.5857005,0.32475299999999996,1.8609,2.28068,2.03341,0.007129,0.007129,0.007129
31,5077.29,0.76034,0.60869,1.09361,0.729927,0.6639599999999999,0.5888519999999999,0.32694749999999995,1.85941,2.31217,2.05621,0.00703,0.00703,0.00703
32,5232.67,0.73465,0.57935,1.07546,0.8556735,0.5901225,0.5792984999999999,0.32112299999999994,1.87514,2.31221,2.06745,0.006931,0.006931,0.006931
33,5387.87,0.71257,0.54776,1.05862,0.7545945,0.6329895,0.5843309999999999,0.326931,1.86715,2.32484,2.08077,0.006832,0.006832,0.006832
34,5543.16,0.69349,0.53372,1.04742,0.7785359999999999,0.602448,0.5795625,0.3221625,1.86924,2.33844,2.09275,0.006733,0.006733,0.006733
35,5698.52,0.67226,0.51571,1.03224,0.8419785,0.6002865000000001,0.6007155,0.332871,1.84757,2.34844,2.08051,0.006634,0.006634,0.006634
36,5853.8,0.65148,0.4998,1.01896,0.845394,0.596244,0.6052035,0.33527999999999997,1.88441,2.34882,2.14789,0.006535,0.006535,0.006535
37,6009.09,0.62995,0.47415,1.00425,0.8629664999999999,0.601062,0.6164234999999999,0.34823249999999994,1.86718,2.3566,2.13041,0.006436,0.006436,0.006436
38,6164.54,0.61729,0.46349,0.99718,0.8788724999999998,0.5725169999999999,0.5891985,0.333102,1.8781,2.39309,2.13319,0.006337,0.006337,0.006337
39,6319.84,0.59898,0.45083,0.98405,0.7893435,0.6080249999999999,0.5966235,0.33577499999999993,1.87202,2.39356,2.14859,0.006238,0.006238,0.006238
40,6475.19,0.58568,0.4376,0.97561,0.7877099999999999,0.640365,0.6071669999999999,0.344916,1.86314,2.40051,2.14272,0.006139,0.006139,0.006139
41,6630.43,0.56513,0.41602,0.96244,0.803055,0.6069195,0.591855,0.3394215,1.86841,2.45174,2.16343,0.00604,0.00604,0.00604
42,6786.17,0.55506,0.4099,0.95698,0.8387444999999999,0.5925149999999999,0.599379,0.34122,1.8669,2.43103,2.16198,0.005941,0.005941,0.005941
43,6941.53,0.53775,0.39463,0.94612,0.852885,0.589545,0.605583,0.3471765,1.86286,2.46575,2.15979,0.005842,0.005842,0.005842
44,7098.89,0.52396,0.37376,0.93615,0.8167995,0.6155324999999999,0.6078269999999999,0.3489915,1.85203,2.46353,2.16775,0.005743,0.005743,0.005743
45,7254.47,0.5121,0.3692,0.93098,0.8538585,0.599676,0.606177,0.347589,1.8594,2.4885,2.18976,0.005644,0.005644,0.005644
46,7410.03,0.50345,0.36697,0.92515,0.854931,0.562518,0.5933235,0.34369500000000003,1.86891,2.536,2.2015,0.005545,0.005545,0.005545
47,7565.52,0.49121,0.35995,0.92015,0.8035829999999999,0.5924985,0.6109454999999999,0.357819,1.85244,2.49442,2.18902,0.005446,0.005446,0.005446
48,7721.02,0.4819,0.35085,0.91425,0.8237295,0.5851394999999999,0.5999895,0.35186249999999997,1.85507,2.53383,2.1893,0.005347,0.005347,0.005347
49,7876.36,0.46664,0.33698,0.90524,0.920271,0.538428,0.6046425,0.35501399999999994,1.85693,2.54837,2.19877,0.005248,0.005248,0.005248
50,8031.76,0.46794,0.34726,0.90865,0.8946134999999998,0.537999,0.5984054999999999,0.35029499999999997,1.86222,2.59715,2.19363,0.005149,0.005149,0.005149
51,8187.12,0.44973,0.3275,0.89682,0.8721899999999999,0.5553404999999999,0.6060779999999999,0.356466,1.85934,2.54615,2.20913,0.00505,0.00505,0.00505
52,8342.5,0.44321,0.32851,0.89455,0.8985569999999998,0.553377,0.605517,0.3555915,1.85631,2.55316,2.2133,0.004951,0.004951,0.004951
53,8498.02,0.43016,0.3126,0.88704,0.8412855,0.5719394999999999,0.6003525,0.3562845,1.86067,2.59717,2.21121,0.004852,0.004852,0.004852
54,8653.48,0.42278,0.3095,0.8843,0.8236635,0.582318,0.606408,0.3555915,1.84483,2.59499,2.2055,0.004753,0.004753,0.004753
55,8808.9,0.41737,0.30637,0.88091,0.8578844999999999,0.5660985,0.6063584999999999,0.359667,1.84079,2.5957,2.2097,0.004654,0.004654,0.004654
56,8964.26,0.40524,0.29914,0.87601,0.82368,0.576906,0.6136845,0.36476549999999996,1.83399,2.59979,2.21111,0.004555,0.004555,0.004555
57,9119.67,0.40065,0.29356,0.87291,0.8511359999999999,0.5745794999999999,0.6089654999999999,0.363,1.84932,2.60303,2.23504,0.004456,0.004456,0.004456
58,9281.89,0.39339,0.29417,0.87166,0.8074605,0.585024,0.6141135,0.3640725,1.84108,2.59218,2.23039,0.004357,0.004357,0.004357
59,9458.66,0.38605,0.28616,0.86712,0.8240595,0.5739194999999999,0.613734,0.36412199999999995,1.84709,2.60929,2.23619,0.004258,0.004258,0.004258
60,9630.03,0.3783,0.28289,0.86389,0.7975605,0.582549,0.609972,0.363429,1.84034,2.62975,2.22039,0.004159,0.004159,0.004159
61,9800.53,0.36283,0.26513,0.85509,0.8516969999999999,0.566247,0.613272,0.368643,1.83504,2.64975,2.22169,0.00406,0.00406,0.00406
62,9974.16,0.35943,0.26533,0.85489,0.8434965000000001,0.5626335,0.6077115,0.36605249999999995,1.82685,2.6952,2.2152,0.003961,0.003961,0.003961
63,10143.9,0.35359,0.26552,0.8532,0.8039955,0.5729295,0.610599,0.366036,1.82929,2.69133,2.21539,0.003862,0.003862,0.003862
64,10314.2,0.34294,0.25562,0.8481,0.8419949999999999,0.549879,0.6086024999999999,0.36430349999999995,1.83982,2.69857,2.22486,0.003763,0.003763,0.003763
65,10486.4,0.33915,0.25262,0.84618,0.8549639999999998,0.54318,0.609807,0.367521,1.83544,2.70965,2.22004,0.003664,0.003664,0.003664
66,10652.8,0.33716,0.25432,0.84666,0.8097705,0.5637884999999999,0.608586,0.36757049999999997,1.83544,2.70772,2.21644,0.003565,0.003565,0.003565
67,10818.5,0.32603,0.2493,0.84335,0.8838224999999998,0.541398,0.6100875,0.3704415,1.83155,2.70527,2.21791,0.003466,0.003466,0.003466
68,10988.5,0.31415,0.23699,0.83644,0.8945474999999999,0.5248815,0.608421,0.370623,1.83,2.71059,2.22322,0.003367,0.003367,0.003367
69,11154.1,0.30901,0.23406,0.83538,0.8378369999999999,0.550374,0.6092295,0.37238849999999996,1.82998,2.72293,2.22614,0.003268,0.003268,0.003268
70,11332.2,0.30351,0.23091,0.83308,0.8767440000000001,0.537306,0.6115725,0.373065,1.82697,2.733,2.22294,0.003169,0.003169,0.003169
71,11513.0,0.30238,0.2344,0.83468,0.8625209999999999,0.5420744999999999,0.6121665,0.3749625,1.82828,2.74158,2.21924,0.00307,0.00307,0.00307
72,11693.4,0.29004,0.22156,0.82882,0.8882444999999999,0.541662,0.617331,0.376266,1.82566,2.74287,2.21954,0.002971,0.002971,0.002971
73,11873.1,0.28696,0.2232,0.82793,0.869352,0.5441699999999999,0.6135195,0.3745005,1.82385,2.74351,2.22089,0.002872,0.002872,0.002872
74,12052.1,0.27421,0.21248,0.82325,0.848298,0.5525355,0.6128594999999999,0.37365899999999996,1.82679,2.75306,2.23081,0.002773,0.002773,0.002773
75,12227.7,0.27421,0.21589,0.82478,0.8466975,0.5475195,0.6109289999999999,0.3704415,1.82858,2.75443,2.23674,0.002674,0.002674,0.002674
76,12400.7,0.26616,0.21005,0.82168,0.8337119999999999,0.5541524999999999,0.610335,0.370326,1.82742,2.76624,2.24288,0.002575,0.002575,0.002575
77,12574.0,0.25339,0.19703,0.81589,0.8303294999999998,0.547701,0.6094109999999999,0.3715965,1.82527,2.77774,2.24115,0.002476,0.002476,0.002476
78,12748.8,0.25283,0.19851,0.8164,0.836187,0.549912,0.6118695,0.3754245,1.82267,2.78052,2.24131,0.002377,0.002377,0.002377
79,12923.8,0.2453,0.19689,0.81513,0.8386124999999999,0.5470079999999999,0.6103185,0.37529250000000003,1.82269,2.78605,2.24078,0.002278,0.002278,0.002278
80,13098.7,0.23616,0.18684,0.81039,0.8326064999999999,0.5520404999999999,0.6126944999999999,0.376002,1.82212,2.78875,2.24509,0.002179,0.002179,0.002179
81,13274.9,0.23312,0.18635,0.81045,0.8255279999999999,0.5509514999999999,0.6136515,0.377223,1.82194,2.78727,2.24728,0.00208,0.00208,0.00208
82,13447.8,0.22394,0.18004,0.80796,0.8267819999999999,0.549351,0.614625,0.3788565,1.82085,2.79107,2.24826,0.001981,0.001981,0.001981
83,13615.4,0.22085,0.18177,0.80796,0.8245049999999999,0.5517764999999999,0.6155324999999999,0.381282,1.81981,2.78969,2.2503,0.001882,0.001882,0.001882
84,13777.7,0.21669,0.18031,0.80792,0.8223104999999999,0.551595,0.615153,0.38116649999999996,1.81978,2.79292,2.25106,0.001783,0.001783,0.001783
85,13944.3,0.21389,0.17972,0.80678,0.8229869999999999,0.5535914999999999,0.6150869999999999,0.38011049999999996,1.82038,2.79281,2.25182,0.001684,0.001684,0.001684
86,14114.7,0.20212,0.16902,0.80297,0.8263034999999999,0.5528985,0.61479,0.3796815,1.82121,2.78785,2.25333,0.001585,0.001585,0.001585
87,14284.7,0.19507,0.16452,0.80137,0.8307585,0.552882,0.614295,0.3786255,1.82344,2.78948,2.25665,0.001486,0.001486,0.001486
