epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,6.68105,5.341670000000001,0.39243,0.34264,0.30033,0.16908,0.00332762,163.756
2,6.27417,6.13574,0.33958,0.262,0.23424,0.11969,0.00659501,310.764
3,6.9458,7.89656,0.19346,0.15075,0.08103,0.03637,0.0097964,456.722
4,7.32661,6.96615,0.29187,0.22068,0.15606,0.07427,0.009703,599.891
5,6.84183,6.32024,0.36826,0.26336,0.22813,0.10957,0.009604,747.059
6,6.42385,6.1653400000000005,0.38542,0.27368,0.23762,0.12423,0.009505,892.711
7,6.117189999999999,5.82805,0.4101,0.29923,0.27198,0.14369,0.009406,1037.86
8,5.83467,5.92086,0.40998,0.30334,0.28034,0.14809,0.009307,1179.15
9,5.60996,5.62951,0.43853,0.35039,0.32458,0.17622,0.009208,1326.5
10,5.40177,5.547000000000001,0.44871,0.36145,0.34152,0.18727,0.009109,1476.02
11,5.181010000000001,5.54779,0.44855,0.34717,0.34009,0.1892,0.00901,1625.66
12,4.98976,5.42084,0.43578,0.38449,0.35063,0.19199,0.008911,1782.29
13,4.82286,5.44539,0.46627,0.37542,0.36167,0.19869,0.008812,1941.74
14,4.61283,5.492290000000001,0.45497,0.38083,0.35897,0.19173,0.008713,2099.95
15,4.42047,5.44155,0.4495,0.39991,0.37306,0.20006,0.008614,2258.34
16,4.23066,5.52054,0.47951,0.38331,0.36895,0.19715,0.008515,2416.5
17,4.07362,5.478339999999999,0.4573,0.41498,0.3746,0.20916,0.008416,2564.38
18,3.89336,5.62861,0.43969,0.39475,0.35365,0.18959,0.008317,2708.88
19,3.714090000000001,5.70805,0.46877,0.37624,0.35066,0.19046,0.008218,2848.93
20,3.5892100000000005,5.65303,0.46908,0.39201,0.36991,0.20148,0.008119,2992.86
21,3.39964,5.67032,0.49062,0.39573,0.37758,0.20864,0.00802,3130.26
22,3.2356800000000003,5.80594,0.44784,0.39945,0.36153,0.20071,0.007921,3273.8
23,3.10166,5.87564,0.47207,0.38372,0.34499,0.1876,0.007822,3423.34
24,3.03011,5.96283,0.4475,0.39486,0.35703,0.20018,0.007723,3574.04
25,2.90937,5.94888,0.47932,0.39072,0.35887,0.19855,0.007624,3721.28
26,2.79289,6.02793,0.49813,0.3629,0.36084,0.19968,0.007525,3859.05
27,2.71753,6.14882,0.46524,0.36273,0.34792,0.1925,0.007426,4002.75
28,2.61036,6.2171,0.49486,0.36437,0.34206,0.19189,0.007327,4142.85
29,2.5489,6.16868,0.4676,0.38309,0.35646,0.20095,0.007228,4283.34
30,2.46407,6.23862,0.50275,0.37307,0.36555,0.20349,0.007129,4422.53
31,2.38786,6.30879,0.47055,0.37434,0.35504,0.19895,0.00703,4559.39
32,2.3149800000000003,6.34259,0.47724,0.38539,0.35633,0.20045,0.006931,4696.43
