epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.756,1.79317,3.0096,1.87828,0.6475095,0.565356,0.49554449999999994,0.278982,1.63374,2.12286,1.58507,0.00332762,0.00332762,0.00332762
2,310.764,1.84998,2.53512,1.88907,0.560307,0.4323,0.386496,0.19748849999999998,1.83662,2.47879,1.82033,0.00659501,0.00659501,0.00659501
3,456.722,2.0304,2.83385,2.08155,0.31920899999999996,0.24873749999999997,0.1336995,0.060010499999999994,2.26537,3.30759,2.3236,0.0097964,0.0097964,0.0097964
4,599.891,2.11849,3.00159,2.20653,0.4815855,0.36412199999999995,0.257499,0.1225455,2.054,2.84226,2.06989,0.009703,0.009703,0.009703
5,747.059,1.99773,2.75349,2.09061,0.607629,0.43454399999999993,0.3764145,0.1807905,1.94532,2.44193,1.93299,0.009604,0.009604,0.009604
6,892.711,1.8983,2.52449,2.00106,0.6359429999999999,0.4515719999999999,0.39207299999999995,0.20497949999999998,1.84226,2.44638,1.8767,0.009505,0.009505,0.009505
7,1037.86,1.81591,2.36379,1.93749,0.676665,0.4937295,0.44876699999999997,0.2370885,1.79972,2.20452,1.82381,0.009406,0.009406,0.009406
8,1179.15,1.75009,2.2074,1.87718,0.6764669999999999,0.5005109999999999,0.46256099999999994,0.2443485,1.82719,2.26334,1.83033,0.009307,0.009307,0.009307
9,1326.5,1.69437,2.08856,1.82703,0.7235744999999999,0.5781434999999999,0.535557,0.29076299999999994,1.78148,2.05583,1.7922,0.009208,0.009208,0.009208
10,1476.02,1.63885,1.98564,1.77728,0.7403715,0.5963925,0.563508,0.3089955,1.75578,2.01214,1.77908,0.009109,0.009109,0.009109
11,1625.66,1.58264,1.86748,1.73089,0.7401074999999999,0.5728304999999999,0.5611484999999999,0.31218,1.74556,2.0415,1.76073,0.00901,0.00901,0.00901
12,1782.29,1.53023,1.77071,1.68882,0.7190369999999999,0.6344084999999999,0.5785395,0.3167835,1.73418,1.94262,1.74404,0.008911,0.008911,0.008911
13,1941.74,1.4896,1.68615,1.64711,0.7693455,0.619443,0.5967555,0.3278385,1.74692,1.93364,1.76483,0.008812,0.008812,0.008812
14,2099.95,1.43214,1.57671,1.60398,0.7507004999999999,0.6283694999999999,0.5923005,0.3163545,1.7551,1.95263,1.78456,0.008713,0.008713,0.008713
15,2258.34,1.37594,1.48635,1.55818,0.741675,0.6598514999999999,0.615549,0.330099,1.74695,1.93156,1.76304,0.008614,0.008614,0.008614
16,2416.5,1.31893,1.39787,1.51386,0.7911914999999999,0.6324614999999999,0.6087675,0.32529749999999996,1.77846,1.92726,1.81482,0.008515,0.008515,0.008515
17,2564.38,1.27909,1.31462,1.47991,0.7545449999999999,0.684717,0.6180899999999999,0.345114,1.73813,1.96128,1.77893,0.008416,0.008416,0.008416
18,2708.88,1.22617,1.22994,1.43725,0.7254885,0.6513374999999999,0.5835225,0.3128235,1.77427,2.0179,1.83644,0.008317,0.008317,0.008317
19,2848.93,1.17293,1.14857,1.39259,0.7734705,0.620796,0.578589,0.31425899999999996,1.80184,2.04721,1.859,0.008218,0.008218,0.008218
20,2992.86,1.13724,1.08887,1.3631,0.773982,0.6468165,0.6103515,0.33244199999999996,1.80068,1.98409,1.86826,0.008119,0.008119,0.008119
21,3130.26,1.07601,1.00451,1.31912,0.809523,0.6529545,0.623007,0.34425599999999995,1.79511,2.0187,1.85651,0.00802,0.00802,0.00802
22,3273.8,1.03123,0.92107,1.28338,0.738936,0.6590925,0.5965245,0.3311715,1.81593,2.08112,1.90889,0.007921,0.007921,0.007921
23,3423.34,0.98526,0.86758,1.24882,0.7789155,0.633138,0.5692335,0.30954,1.8243,2.11529,1.93605,0.007822,0.007822,0.007822
24,3574.04,0.95861,0.84197,1.22953,0.738375,0.651519,0.5890995,0.33029699999999995,1.83791,2.16173,1.96319,0.007723,0.007723,0.007723
25,3721.28,0.91933,0.78883,1.20121,0.790878,0.644688,0.5921355,0.3276075,1.83576,2.15849,1.95463,0.007624,0.007624,0.007624
26,3859.05,0.88206,0.74051,1.17032,0.8219145,0.598785,0.595386,0.329472,1.84286,2.20642,1.97865,0.007525,0.007525,0.007525
27,4002.75,0.85414,0.71261,1.15078,0.7676459999999999,0.5985045,0.574068,0.317625,1.85817,2.28417,2.00648,0.007426,0.007426,0.007426
28,4142.85,0.81892,0.6671,1.12434,0.816519,0.6012105,0.564399,0.31661849999999997,1.85238,2.34417,2.02055,0.007327,0.007327,0.007327
29,4283.34,0.79641,0.64499,1.1075,0.77154,0.6320984999999999,0.588159,0.33156749999999996,1.83418,2.32719,2.00731,0.007228,0.007228,0.007228
30,4422.53,0.76782,0.60847,1.08778,0.8295375,0.6155655,0.6031574999999999,0.3357585,1.86425,2.31309,2.06128,0.007129,0.007129,0.007129
31,4559.39,0.73727,0.58403,1.06656,0.7764075,0.617661,0.585816,0.3282675,1.85552,2.38493,2.06834,0.00703,0.00703,0.00703
32,4696.43,0.71192,0.55272,1.05034,0.787446,0.6358935,0.5879445,0.33074249999999994,1.86277,2.40847,2.07135,0.006931,0.006931,0.006931
