epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,6.7171199999999995,5.71404,0.40116,0.30953,0.2558,0.13795,0.00332821,173.514
2,6.39672,6.39943,0.30738,0.24008,0.18594,0.09634,0.0065956,336.507
3,7.05039,7.4906999999999995,0.28816,0.18425,0.11999,0.05491,0.00979698,496.713
4,7.2949,7.05823,0.3145,0.21398,0.16374,0.07621,0.009703,655.664
5,6.79564,6.42975,0.34919,0.24757,0.20941,0.10306,0.009604,815.626
6,6.446680000000001,6.10017,0.37319,0.30037,0.25272,0.12701,0.009505,976.618
7,6.135269999999999,5.8685,0.3984,0.33132,0.282,0.14483,0.009406,1143.29
8,5.83014,5.822439999999999,0.42165,0.33563,0.31083,0.16623,0.009307,1307.12
9,5.59451,5.63922,0.44839,0.33388,0.31526,0.17286,0.009208,1474.42
10,5.40325,5.59821,0.42812,0.36139,0.32112,0.16874,0.009109,1638.84
11,5.18525,5.47949,0.42108,0.37503,0.33834,0.18297,0.00901,1804.79
12,4.98723,5.5100999999999996,0.44612,0.35781,0.34344,0.18753,0.008911,1973.96
13,4.77714,5.48016,0.43826,0.38525,0.35558,0.19483,0.008812,2143.94
14,4.57568,5.4889399999999995,0.46196,0.39727,0.37056,0.20449,0.008713,2313.73
15,4.40765,5.5286100000000005,0.44371,0.39065,0.35771,0.1998,0.008614,2483.21
16,4.228870000000001,5.54528,0.45335,0.39335,0.3638,0.19795,0.008515,2651.16
17,4.06174,5.53504,0.49219,0.3692,0.36108,0.2,0.008416,2817.76
18,3.8865300000000005,5.60397,0.45691,0.39137,0.36947,0.19938,0.008317,2982.29
19,3.73308,5.62762,0.47494,0.40034,0.37419,0.2095,0.008218,3146.62
20,3.54483,5.747820000000001,0.47389,0.39006,0.36044,0.19315,0.008119,3310.61
21,3.4102699999999997,5.784,0.47112,0.38152,0.35751,0.1964,0.00802,3475.93
22,3.3161400000000003,5.868390000000001,0.44186,0.39793,0.35984,0.19573,0.007921,3641.53
23,3.15588,5.88608,0.47268,0.3746,0.34913,0.19307,0.007822,3806.45
24,3.05245,5.9591,0.48396,0.36989,0.3531,0.19631,0.007723,3968.07
25,2.93066,6.06739,0.46743,0.36547,0.3419,0.18877,0.007624,4127.35
26,2.84459,6.10913,0.46122,0.38252,0.35279,0.19434,0.007525,4284.75
27,2.74435,6.17978,0.4787,0.36572,0.34641,0.19137,0.007426,4442.92
28,2.6635999999999997,6.1483799999999995,0.46551,0.37115,0.35123,0.199,0.007327,4600.48
29,2.5797600000000003,6.160299999999999,0.50014,0.35859,0.35443,0.19923,0.007228,4758.07
30,2.48907,6.240590000000001,0.46636,0.35803,0.34552,0.19431,0.007129,4915.47
31,2.4361,6.371370000000001,0.50147,0.34569,0.34632,0.19225,0.00703,5072.62
32,2.3677900000000003,6.30233,0.50025,0.36455,0.35623,0.20279,0.006931,5229.84
33,2.2980400000000003,6.33404,0.49044,0.36186,0.34924,0.19725,0.006832,5387.57
34,2.2455499999999997,6.42419,0.50719,0.34123,0.34975,0.20212,0.006733,5544.74
