epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.514,1.78801,3.03615,1.89296,0.40116,0.30953,0.2558,0.13795,1.72809,2.31969,1.66626,0.00332821,0.00332821,0.00332821
2,336.507,1.86004,2.60415,1.93253,0.30738,0.24008,0.18594,0.09634,1.92377,2.59273,1.88293,0.0065956,0.0065956,0.0065956
3,496.713,2.04248,2.89035,2.11756,0.28816,0.18425,0.11999,0.05491,2.21449,3.09009,2.18612,0.00979698,0.00979698,0.00979698
4,655.664,2.09912,3.00343,2.19235,0.3145,0.21398,0.16374,0.07621,2.07896,2.86718,2.11209,0.009703,0.009703,0.009703
5,815.626,1.97148,2.73301,2.09115,0.34919,0.24757,0.20941,0.10306,1.95909,2.52639,1.94427,0.009604,0.009604,0.009604
6,976.618,1.88955,2.547,2.01013,0.37319,0.30037,0.25272,0.12701,1.89528,2.32375,1.88114,0.009505,0.009505,0.009505
7,1143.29,1.8071,2.38236,1.94581,0.3984,0.33132,0.282,0.14483,1.81042,2.21985,1.83823,0.009406,0.009406,0.009406
8,1307.12,1.7445,2.20496,1.88068,0.42165,0.33563,0.31083,0.16623,1.82101,2.179,1.82243,0.009307,0.009307,0.009307
9,1474.42,1.68088,2.08057,1.83306,0.44839,0.33388,0.31526,0.17286,1.77192,2.08412,1.78318,0.009208,0.009208,0.009208
10,1638.84,1.62964,1.99193,1.78168,0.42812,0.36139,0.32112,0.16874,1.75547,2.06019,1.78255,0.009109,0.009109,0.009109
11,1804.79,1.57242,1.87749,1.73534,0.42108,0.37503,0.33834,0.18297,1.72964,1.99267,1.75718,0.00901,0.00901,0.00901
12,1973.96,1.51625,1.7819,1.68908,0.44612,0.35781,0.34344,0.18753,1.73854,2.00772,1.76384,0.008911,0.008911,0.008911
13,2143.94,1.46559,1.66417,1.64738,0.43826,0.38525,0.35558,0.19483,1.74354,1.9725,1.76412,0.008812,0.008812,0.008812
14,2313.73,1.40997,1.56317,1.60254,0.46196,0.39727,0.37056,0.20449,1.75368,1.96731,1.76795,0.008713,0.008713,0.008713
15,2483.21,1.36445,1.47804,1.56516,0.44371,0.39065,0.35771,0.1998,1.74081,1.99928,1.78852,0.008614,0.008614,0.008614
16,2651.16,1.31096,1.3988,1.51911,0.45335,0.39335,0.3638,0.19795,1.75836,1.98631,1.80061,0.008515,0.008515,0.008515
17,2817.76,1.26668,1.31406,1.481,0.49219,0.3692,0.36108,0.2,1.75355,1.97557,1.80592,0.008416,0.008416,0.008416
18,2982.29,1.21846,1.22593,1.44214,0.45691,0.39137,0.36947,0.19938,1.78507,1.97,1.8489,0.008317,0.008317,0.008317
19,3146.62,1.17439,1.15037,1.40832,0.47494,0.40034,0.37419,0.2095,1.77306,2.02485,1.82971,0.008218,0.008218,0.008218
20,3310.61,1.12183,1.05772,1.36528,0.47389,0.39006,0.36044,0.19315,1.80501,2.06951,1.8733,0.008119,0.008119,0.008119
21,3475.93,1.07611,1.00437,1.32979,0.47112,0.38152,0.35751,0.1964,1.80108,2.09244,1.89048,0.00802,0.00802,0.00802
22,3641.53,1.04716,0.96231,1.30667,0.44186,0.39793,0.35984,0.19573,1.82853,2.11241,1.92745,0.007921,0.007921,0.007921
23,3806.45,0.99859,0.88876,1.26853,0.47268,0.3746,0.34913,0.19307,1.80469,2.18427,1.89712,0.007822,0.007822,0.007822
24,3968.07,0.96057,0.85103,1.24085,0.48396,0.36989,0.3531,0.19631,1.81607,2.19173,1.9513,0.007723,0.007723,0.007723
25,4127.35,0.9239,0.7934,1.21336,0.46743,0.36547,0.3419,0.18877,1.84091,2.25495,1.97153,0.007624,0.007624,0.007624
26,4284.75,0.89721,0.75418,1.1932,0.46122,0.38252,0.35279,0.19434,1.85166,2.25461,2.00286,0.007525,0.007525,0.007525
27,4442.92,0.86191,0.71654,1.1659,0.4787,0.36572,0.34641,0.19137,1.86303,2.29073,2.02602,0.007426,0.007426,0.007426
28,4600.48,0.83523,0.68238,1.14599,0.46551,0.37115,0.35123,0.199,1.84396,2.29366,2.01076,0.007327,0.007327,0.007327
29,4758.07,0.80449,0.65023,1.12504,0.50014,0.35859,0.35443,0.19923,1.83205,2.30312,2.02513,0.007228,0.007228,0.007228
30,4915.47,0.77448,0.61389,1.1007,0.46636,0.35803,0.34552,0.19431,1.85312,2.32193,2.06554,0.007129,0.007129,0.007129
31,5072.62,0.75338,0.59528,1.08744,0.50147,0.34569,0.34632,0.19225,1.86281,2.43339,2.07517,0.00703,0.00703,0.00703
32,5229.84,0.72668,0.57149,1.06962,0.50025,0.36455,0.35623,0.20279,1.86918,2.33666,2.09649,0.006931,0.006931,0.006931
33,5387.57,0.70328,0.54387,1.05089,0.49044,0.36186,0.34924,0.19725,1.85645,2.40393,2.07366,0.006832,0.006832,0.006832
34,5544.74,0.68516,0.52275,1.03764,0.50719,0.34123,0.34975,0.20212,1.86668,2.45468,2.10283,0.006733,0.006733,0.006733
