epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,7.0365,7.96823,0.1109,0.12871,0.06788,0.02932,0.000255019,70.5995
2,7.069529999999999,9.04062,0.34287,0.17315,0.07836,0.03051,0.00050629,126.222
3,6.94366,8.00903,0.22776,0.17141,0.09847,0.04283,0.000752485,181.316
4,6.73269,7.7653099999999995,0.31078,0.18718,0.11954,0.05487,0.000746161,231.812
5,6.33254,6.6471100000000005,0.30312,0.24663,0.19377,0.09164,0.000738548,284.477
6,6.0116499999999995,6.44526,0.30194,0.25328,0.19678,0.09635,0.000730935,335.716
7,5.70737,6.47551,0.30803,0.27489,0.22416,0.1121,0.000723321,384.957
8,5.47053,6.11681,0.36609,0.2824,0.25636,0.13322,0.000715708,433.851
9,5.23549,6.270910000000001,0.31991,0.28688,0.22827,0.117,0.000708095,482.623
10,5.02175,5.95467,0.32218,0.34784,0.28716,0.14655,0.000700482,531.691
11,4.79737,6.1092699999999995,0.33267,0.33229,0.27053,0.14301,0.000692869,579.74
12,4.57396,5.86467,0.34824,0.35117,0.28142,0.14806,0.000685256,627.711
13,4.3914,6.01717,0.36188,0.36011,0.27252,0.13883,0.000677643,677.355
14,4.1582,5.91843,0.34913,0.38042,0.29442,0.15275,0.00067003,728.811
15,4.01205,5.93643,0.37061,0.36107,0.2914,0.1505,0.000662417,780.981
16,3.7716899999999995,6.10912,0.34971,0.36908,0.26596,0.13721,0.000654804,835.272
17,3.5741,5.94079,0.35137,0.38885,0.30958,0.16391,0.00064719,889.401
18,3.4410000000000003,6.0602,0.35467,0.3648,0.28199,0.144,0.000639577,943.787
19,3.32405,6.1635,0.36189,0.34084,0.27379,0.14075,0.000631964,998.042
20,3.1793699999999996,6.0657,0.39934,0.33013,0.28976,0.15251,0.000624351,1052.23
21,3.0667400000000002,6.157400000000001,0.40257,0.34184,0.28535,0.14641,0.000616738,1105.56
22,2.93719,6.2112799999999995,0.39002,0.34626,0.28686,0.1512,0.000609125,1158.64
23,2.7858,6.41751,0.41914,0.31765,0.29232,0.15177,0.000601512,1211.14
24,2.6936999999999998,6.213509999999999,0.38206,0.36403,0.28705,0.15215,0.000593899,1264.67
25,2.5431,6.37739,0.37134,0.3512,0.27734,0.14379,0.000586286,1316.11
26,2.43953,6.44238,0.39574,0.33878,0.29588,0.16005,0.000578672,1367.86
27,2.33301,6.55138,0.39726,0.31124,0.2778,0.14496,0.000571059,1420.94
28,2.30112,6.54472,0.39741,0.35159,0.29727,0.15998,0.000563446,1474.37
29,2.21188,6.716569999999999,0.37155,0.32397,0.28005,0.15247,0.000555833,1526.88
30,2.17517,6.6104,0.40962,0.32883,0.28818,0.15536,0.00054822,1579.74
31,2.0551,6.73496,0.43662,0.3227,0.29814,0.16128,0.000540607,1632.62
32,2.04292,6.77065,0.38905,0.32755,0.28236,0.15352,0.000532994,1685.58
