epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5995,1.85987,3.30757,1.86906,0.18298499999999998,0.21237149999999996,0.11200199999999999,0.048378,2.17481,3.55132,2.2421,0.000255019,0.000255019,0.000255019
2,126.222,2.06067,2.95957,2.04929,0.5657355,0.2856975,0.129294,0.0503415,2.23677,4.51244,2.29141,0.00050629,0.00050629,0.00050629
3,181.316,2.03475,2.8751,2.03381,0.37580399999999997,0.2828265,0.1624755,0.0706695,2.19692,3.54205,2.27006,0.000752485,0.000752485,0.000752485
4,231.812,1.97528,2.75986,1.99755,0.512787,0.308847,0.19724099999999997,0.0905355,2.12279,3.51765,2.12487,0.000746161,0.000746161,0.000746161
5,284.477,1.87369,2.55769,1.90116,0.5001479999999999,0.40693949999999995,0.31972049999999996,0.15120599999999998,1.9867,2.65199,2.00842,0.000738548,0.000738548,0.000738548
6,335.716,1.80453,2.37643,1.83069,0.49820099999999995,0.417912,0.324687,0.1589775,1.93856,2.58743,1.91927,0.000730935,0.000730935,0.000730935
7,384.957,1.70789,2.24725,1.75223,0.5082495,0.45356850000000004,0.36986399999999997,0.184965,1.92091,2.62337,1.93123,0.000723321,0.000723321,0.000723321
8,433.851,1.63575,2.13555,1.69923,0.6040485,0.46595999999999993,0.4229939999999999,0.219813,1.87321,2.34769,1.89591,0.000715708,0.000715708,0.000715708
9,482.623,1.56821,2.02446,1.64282,0.5278515,0.473352,0.37664549999999997,0.19305,1.89635,2.46572,1.90884,0.000708095,0.000708095,0.000708095
10,531.691,1.52275,1.89581,1.60319,0.531597,0.5739359999999999,0.473814,0.2418075,1.84624,2.24199,1.86644,0.000700482,0.000700482,0.000700482
11,579.74,1.45169,1.78732,1.55836,0.5489055,0.5482784999999999,0.44637449999999995,0.2359665,1.85135,2.37482,1.8831,0.000692869,0.000692869,0.000692869
12,627.711,1.39184,1.67608,1.50604,0.574596,0.5794305,0.464343,0.244299,1.81925,2.18888,1.85654,0.000685256,0.000685256,0.000685256
13,677.355,1.33835,1.5935,1.45955,0.5971019999999999,0.5941814999999999,0.44965799999999995,0.2290695,1.84781,2.29509,1.87427,0.000677643,0.000677643,0.000677643
14,728.811,1.2546,1.50067,1.40293,0.5760645,0.627693,0.485793,0.25203749999999997,1.86492,2.17877,1.87474,0.00067003,0.00067003,0.00067003
15,780.981,1.22029,1.41477,1.37699,0.6115065,0.5957655,0.48080999999999996,0.248325,1.8564,2.17607,1.90396,0.000662417,0.000662417,0.000662417
16,835.272,1.14689,1.30277,1.32203,0.5770215,0.608982,0.43883399999999995,0.22639649999999997,1.86467,2.28649,1.95796,0.000654804,0.000654804,0.000654804
17,889.401,1.08971,1.20775,1.27664,0.5797605,0.6416025,0.510807,0.2704515,1.83497,2.16764,1.93818,0.00064719,0.00064719,0.00064719
18,943.787,1.049,1.13908,1.25292,0.5852054999999999,0.60192,0.4652835,0.23759999999999998,1.8889,2.20281,1.96849,0.000639577,0.000639577,0.000639577
19,998.042,1.00774,1.09104,1.22527,0.5971185,0.5623859999999999,0.4517534999999999,0.23223749999999996,1.9044,2.27932,1.97978,0.000631964,0.000631964,0.000631964
20,1052.23,0.96717,1.01952,1.19268,0.6589109999999999,0.5447145,0.47810400000000003,0.2516415,1.87862,2.20913,1.97795,0.000624351,0.000624351,0.000624351
21,1105.56,0.92866,0.97165,1.16643,0.6642404999999999,0.564036,0.47082749999999995,0.2415765,1.89229,2.26845,1.99666,0.000616738,0.000616738,0.000616738
22,1158.64,0.8969,0.90061,1.13968,0.6435329999999999,0.571329,0.473319,0.24947999999999998,1.89409,2.29722,2.01997,0.000609125,0.000609125,0.000609125
23,1211.14,0.85321,0.81965,1.11294,0.691581,0.5241224999999999,0.48232800000000003,0.2504205,1.94342,2.42333,2.05076,0.000601512,0.000601512,0.000601512
24,1264.67,0.81298,0.79032,1.0904,0.6303989999999999,0.6006495,0.4736325,0.2510475,1.89589,2.26018,2.05744,0.000593899,0.000593899,0.000593899
25,1316.11,0.77233,0.71184,1.05893,0.612711,0.57948,0.45761099999999993,0.23725349999999998,1.93809,2.33685,2.10245,0.000586286,0.000586286,0.000586286
26,1367.86,0.73706,0.66483,1.03764,0.652971,0.558987,0.4882019999999999,0.2640825,1.92451,2.43972,2.07815,0.000578672,0.000578672,0.000578672
27,1420.94,0.70103,0.61816,1.01382,0.6554789999999999,0.513546,0.45836999999999994,0.239184,1.94443,2.48839,2.11856,0.000571059,0.000571059,0.000571059
28,1474.37,0.68558,0.61128,1.00426,0.6557265,0.5801235,0.4904954999999999,0.263967,1.92109,2.4855,2.13813,0.000563446,0.000563446,0.000563446
29,1526.88,0.65452,0.56933,0.98803,0.6130574999999999,0.5345504999999999,0.4620825,0.25157549999999995,1.94183,2.6341,2.14064,0.000555833,0.000555833,0.000555833
30,1579.74,0.63112,0.56912,0.97493,0.675873,0.5425695,0.47549699999999995,0.25634399999999996,1.94524,2.48999,2.17517,0.00054822,0.00054822,0.00054822
31,1632.62,0.60047,0.5012,0.95343,0.7204229999999999,0.5324549999999999,0.491931,0.266112,1.93718,2.62396,2.17382,0.000540607,0.000540607,0.000540607
32,1685.58,0.59105,0.50377,0.9481,0.6419325,0.5404575,0.465894,0.253308,1.94035,2.65025,2.18005,0.000532994,0.000532994,0.000532994
