epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,4.59504,1.92565,0.43866,0.31931,0.2674,0.16596,0.00999263,953.533
2,2.05307,1.82075,0.45604,0.36357,0.32394,0.19645,0.0197947,1761.09
3,2.02243,1.85798,0.43541,0.37247,0.3254,0.18558,0.0293988,2523.1
4,2.02828,1.88548,0.47222,0.35742,0.33,0.17525,0.029109,3288.07
5,1.98123,1.83031,0.47921,0.40815,0.3713,0.20438,0.028812,4045.85
6,1.89535,1.7622399999999998,0.50149,0.39829,0.38737,0.22864,0.028515,4795.08
7,1.819,1.82099,0.48956,0.42395,0.3885,0.20828,0.028218,5562.38
8,1.78646,1.77727,0.46979,0.41149,0.37898,0.21822,0.027921,6319.44
9,1.69422,1.80444,0.5062,0.42245,0.39203,0.22309,0.027624,7087.27
10,1.6427,1.8149,0.50673,0.39956,0.38055,0.20497,0.027327,7836.67
11,1.58262,1.81279,0.49914,0.42431,0.39953,0.23325,0.02703,8599.41
12,1.55062,1.86376,0.50766,0.39627,0.37589,0.21325,0.026733,9365.65
13,1.48307,1.81802,0.49153,0.45353,0.40956,0.24193,0.026436,10129.6
14,1.44354,1.87532,0.50485,0.41703,0.38938,0.23032,0.026139,10878.8
15,1.38721,1.92386,0.48864,0.43168,0.38263,0.21462,0.025842,11521.9
16,1.38092,1.90462,0.48312,0.41327,0.37294,0.2126,0.025545,11913.9
17,1.32073,1.96036,0.48432,0.40008,0.36069,0.2034,0.025248,12304.3
18,1.2706499999999998,1.92688,0.51939,0.41461,0.38625,0.22611,0.024951,12693.9
19,1.2367,1.92147,0.56798,0.40065,0.39221,0.22696,0.024654,13081.4
20,1.2192,1.97038,0.51354,0.39269,0.36586,0.20338,0.024357,13471.9
21,1.16086,1.96865,0.51422,0.40547,0.37861,0.22224,0.02406,13859.5
22,1.1513,1.9848200000000005,0.51032,0.41525,0.37917,0.21829,0.023763,14250.3
23,1.15381,2.00158,0.52612,0.40253,0.38502,0.2248,0.023466,14642.2
24,1.09606,2.0189000000000004,0.50346,0.41617,0.36597,0.21033,0.023169,15031.5
25,1.07821,2.01691,0.51628,0.39895,0.37781,0.22114,0.022872,15421.6
26,1.03478,2.0394,0.52276,0.39963,0.37374,0.22109,0.022575,15812.1
27,1.04265,2.09223,0.51289,0.40436,0.36547,0.21023,0.022278,16203.4
28,1.0031100000000002,2.06536,0.50995,0.40398,0.3721,0.21728,0.021981,16594.2
