epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,953.533,0.8934,3.02299,0.67865,0.6711498,0.4885443,0.40912200000000004,0.2539188,0.59147,0.93041,0.40377,0.00999263,0.00333088,0.00999263,0.00333088,0.00999263,0.00333088,0.00999263,0.00333088
2,1761.09,0.69473,0.85618,0.50216,0.6977412000000001,0.5562621,0.4956282,0.3005685,0.56906,0.84876,0.40293,0.0197947,0.00659823,0.0197947,0.00659823,0.0197947,0.00659823,0.0197947,0.00659823
3,2523.1,0.71703,0.80881,0.49659,0.6661773000000001,0.5698791000000001,0.497862,0.2839374,0.62783,0.8105,0.41965,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959
4,3288.07,0.75069,0.77378,0.50381,0.7224965999999999,0.5468526,0.5049,0.2681325,0.66315,0.78221,0.44012,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4045.85,0.73869,0.74977,0.49277,0.7331913000000001,0.6244695,0.5680890000000001,0.3127014,0.61703,0.78238,0.4309,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4795.08,0.70586,0.72401,0.46548,0.7672797,0.6093837,0.5926761,0.3498192,0.5689,0.79602,0.39732,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5562.38,0.68058,0.69748,0.44094,0.7490268,0.6486435,0.5944050000000001,0.3186684,0.64301,0.74172,0.43626,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6319.44,0.697,0.65391,0.43555,0.7187787,0.6295797000000001,0.5798394,0.3338766,0.57965,0.78351,0.41411,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7087.27,0.65408,0.62836,0.41178,0.774486,0.6463485,0.5998059,0.3413277,0.60014,0.7682,0.4361,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7836.67,0.64259,0.60478,0.39533,0.7752969000000001,0.6113268000000001,0.5822415,0.31360410000000005,0.65311,0.72751,0.43428,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8599.41,0.61312,0.58913,0.38037,0.7636841999999999,0.6491943,0.6112809,0.35687250000000004,0.59676,0.77181,0.44422,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9365.65,0.61316,0.56938,0.36808,0.7767198,0.6062931,0.5751117,0.3262725,0.65249,0.75371,0.45756,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
