epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,2.9182,,0.0754,0.1097,0.0386,0.0177,0.0001,229.2
2,2.487,,0.057,0.202,0.0442,0.0195,0.0001,228.0
3,2.3326,,0.0685,0.3203,0.1008,0.0444,0.0001,231.3
4,2.1911,,0.0703,0.3643,0.1258,0.0571,0.0001,230.8
5,2.1044,,0.0926,0.377,0.1604,0.0774,0.0001,231.0
6,2.0273,,0.0857,0.4265,0.17,0.0717,0.0001,232.1
7,2.0279,,0.0761,0.4323,0.1518,0.0683,0.0001,232.3
8,1.9763,,0.0771,0.4537,0.1703,0.081,0.0001,233.0
9,1.9271,,0.0929,0.4742,0.1929,0.0834,0.0001,232.2
10,1.9059,,0.1043,0.4505,0.2067,0.0944,0.0001,233.3
11,1.8785,,0.0965,0.4783,0.2131,0.0994,0.0001,231.8
12,1.8375,,0.0853,0.4931,0.1998,0.0913,0.0001,232.4
13,1.8207,,0.0854,0.5234,0.2323,0.1073,0.0001,232.5
14,1.787,,0.0917,0.474,0.2108,0.0907,0.0001,232.8
15,1.7923,,0.0987,0.4936,0.2302,0.108,0.0001,232.8
16,1.7629,,0.0941,0.5078,0.2533,0.1154,0.0001,233.1
17,1.7514,,0.1024,0.4832,0.2366,0.1165,0.0001,232.7
18,1.7244,,0.1089,0.5,0.2616,0.1246,0.0001,232.4
19,1.7365,,0.0898,0.5339,0.2478,0.1165,0.0001,232.8
20,1.7098,,0.0977,0.5101,0.252,0.1215,0.0001,232.4
21,1.6831,,0.1029,0.5159,0.2532,0.1236,0.0001,232.0
22,1.6668,,0.1131,0.5038,0.2586,0.1268,0.0001,232.1
23,1.657,,0.0977,0.5281,0.2578,0.1195,0.0001,231.8
24,1.6339,,0.0923,0.5388,0.2568,0.1193,0.0001,232.6
25,1.6142,,0.1082,0.5142,0.268,0.1273,0.0001,232.1
26,1.5944,,0.1013,0.5174,0.2709,0.1303,0.0001,231.6
27,1.5842,,0.1063,0.5171,0.2699,0.126,0.0001,230.3
28,1.5835,,0.0984,0.5344,0.279,0.1416,0.0001,232.8
29,1.5765,,0.1039,0.52,0.2719,0.1304,0.0001,231.9
30,1.5416,,0.1029,0.5576,0.2782,0.14,0.0001,231.8
31,1.5346,,0.1025,0.5448,0.2991,0.1459,0.0001,232.5
32,1.5145,,0.0984,0.5582,0.2709,0.1277,0.0001,233.4
33,1.5149,,0.1193,0.5417,0.3072,0.1479,0.0001,233.2
34,1.5028,,0.1108,0.5402,0.2843,0.1367,0.0001,232.6
35,1.4829,,0.1045,0.5544,0.2903,0.1441,0.0001,233.6
36,1.4728,,0.1294,0.5075,0.293,0.1433,0.0001,233.7
37,1.4613,,0.1073,0.5556,0.2944,0.1407,0.0001,232.6
38,1.4557,,0.1317,0.5362,0.3067,0.1539,0.0001,232.0
39,1.4423,,0.1218,0.5084,0.2914,0.1475,0.0001,232.6
40,1.4438,,0.1114,0.5379,0.2817,0.1348,0.0001,232.5
41,1.4342,,0.1253,0.5428,0.3061,0.1545,0.0001,231.7
42,1.4203,,0.1032,0.5315,0.2666,0.1271,0.0001,232.3
43,1.4327,,0.1201,0.5229,0.2763,0.1323,0.0001,232.3
44,1.3859,,0.1142,0.5188,0.255,0.1125,0.0001,232.8
