epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,2.8232,,0.0422,0.1183,0.0387,0.016,0.0001,248.9
2,2.543,,0.0592,0.1933,0.0476,0.021,0.0001,251.2
3,2.387,,0.0501,0.2529,0.0732,0.0351,0.0001,254.7
4,2.2586,,0.0687,0.3186,0.0919,0.0409,0.0001,253.8
5,2.1902,,0.0935,0.2969,0.0992,0.0437,0.0001,250.4
6,2.1317,,0.0814,0.3455,0.1054,0.0438,0.0001,241.2
7,2.0593,,0.0731,0.3912,0.1404,0.0615,0.0001,240.0
8,2.033,,0.0626,0.4106,0.1184,0.0455,0.0001,241.9
9,1.9969,,0.0756,0.4071,0.1459,0.0586,0.0001,241.1
10,1.9591,,0.0739,0.4572,0.1656,0.071,0.0001,244.4
11,1.915,,0.0785,0.4583,0.1785,0.0807,0.0001,249.3
12,1.8904,,0.0848,0.4392,0.1674,0.0781,0.0001,249.3
13,1.8654,,0.077,0.4769,0.1961,0.0858,0.0001,249.3
14,1.8661,,0.0796,0.5119,0.1932,0.0885,0.0001,249.2
15,1.8406,,0.0898,0.4728,0.2167,0.1012,0.0001,252.4
16,1.8196,,0.0791,0.4942,0.2103,0.0951,0.0001,248.4
17,1.8149,,0.0854,0.5014,0.2159,0.0985,0.0001,249.1
18,1.7976,,0.0927,0.5067,0.2339,0.1101,0.0001,249.4
19,1.7788,,0.0904,0.4861,0.2143,0.1019,0.0001,250.0
20,1.7557,,0.0843,0.5023,0.218,0.102,0.0001,252.8
21,1.7403,,0.0886,0.5032,0.2207,0.095,0.0001,250.4
22,1.7104,,0.094,0.5148,0.241,0.109,0.0001,249.6
23,1.7049,,0.1029,0.4815,0.2446,0.1124,0.0001,252.6
24,1.6813,,0.098,0.4899,0.2434,0.1179,0.0001,251.2
25,1.6595,,0.1021,0.5182,0.2536,0.1215,0.0001,249.3
26,1.6467,,0.0876,0.5223,0.2359,0.1078,0.0001,249.6
27,1.6391,,0.0953,0.5093,0.2591,0.1292,0.0001,250.8
28,1.632,,0.0975,0.498,0.241,0.1165,0.0001,249.7
29,1.6075,,0.0942,0.5243,0.2466,0.1132,0.0001,249.1
30,1.6031,,0.0956,0.5278,0.2558,0.1208,0.0001,250.0
31,1.5775,,0.0897,0.5307,0.2474,0.1168,0.0001,250.9
32,1.5922,,0.0991,0.533,0.2718,0.1333,0.0001,249.7
33,1.5801,,0.0916,0.5168,0.2494,0.1212,0.0001,249.9
34,1.5876,,0.0982,0.5437,0.2683,0.1278,0.0001,250.5
35,1.5459,,0.0964,0.546,0.2785,0.137,0.0001,251.3
36,1.5523,,0.0938,0.5269,0.2565,0.1258,0.0001,250.4
37,1.5371,,0.0921,0.5339,0.2426,0.1123,0.0001,250.1
38,1.5204,,0.1111,0.5185,0.2605,0.1202,0.0001,249.1
39,1.5103,,0.1065,0.537,0.2587,0.121,0.0001,249.5
40,1.4761,,0.1135,0.5483,0.2813,0.1338,0.0001,248.5
41,1.4703,,0.1162,0.5272,0.2641,0.1213,0.0001,249.3
42,1.4747,,0.0994,0.5344,0.2833,0.1405,0.0001,249.8
43,1.4587,,0.1218,0.5185,0.2821,0.1392,0.0001,252.2
44,1.4597,,0.1055,0.5269,0.2609,0.1295,0.0001,254.2
45,1.4282,,0.0968,0.5527,0.2694,0.1287,0.0001,249.6
46,1.4264,,0.1206,0.5171,0.2717,0.1328,0.0001,250.1
47,1.4151,,0.1057,0.531,0.2719,0.1328,0.0001,248.9
48,1.398,,0.1209,0.509,0.2859,0.1388,0.0001,249.8
49,1.3897,,0.1131,0.5136,0.2667,0.1298,0.0001,249.6
50,1.3702,,0.1147,0.5451,0.2918,0.1456,0.0001,250.5
51,1.3555,,0.1165,0.533,0.3009,0.1509,0.0001,249.7
52,1.3364,,0.1219,0.5234,0.2911,0.1432,0.0001,249.8
53,1.3336,,0.1251,0.5469,0.2999,0.1462,0.0001,250.9
54,1.3202,,0.1315,0.5318,0.309,0.1538,0.0001,249.9
55,1.302,,0.1252,0.5327,0.2876,0.1397,0.0001,250.1
56,1.2922,,0.1307,0.5272,0.2801,0.1373,0.0001,250.4
57,1.283,,0.1333,0.5344,0.3048,0.1499,0.0001,249.7
58,1.2659,,0.1466,0.5281,0.3167,0.1618,0.0001,249.2
59,1.248,,0.1389,0.5177,0.3041,0.1528,0.0001,249.8
60,1.2426,,0.1345,0.5391,0.292,0.1413,0.0001,249.6
61,1.223,,0.1597,0.509,0.3161,0.1597,0.0001,250.8
62,1.2167,,0.136,0.5344,0.3033,0.1468,0.0001,250.2
63,1.1984,,0.1446,0.5174,0.3153,0.1598,0.0001,249.9
64,1.1857,,0.1432,0.5263,0.2964,0.1469,0.0001,250.2
65,1.1729,,0.1379,0.5177,0.2927,0.1485,0.0001,250.6
66,1.1795,,0.1382,0.5139,0.3119,0.1563,0.0001,249.9
67,1.1611,,0.1413,0.52,0.328,0.1661,0.0001,251.5
68,1.1487,,0.1306,0.4878,0.2893,0.1458,0.0001,249.9
69,1.1333,,0.1469,0.5142,0.3016,0.1492,0.0001,248.4
70,1.1247,,0.1627,0.4878,0.306,0.1525,0.0001,250.6
71,1.0995,,0.1549,0.4933,0.3097,0.1543,0.0001,250.9
72,1.1027,,0.1514,0.513,0.2987,0.1455,0.0001,249.6
73,1.0856,,0.1482,0.5122,0.3071,0.1546,0.0001,249.5
74,1.0773,,0.1607,0.5029,0.3161,0.1622,0.0001,250.0
75,1.0482,,0.2012,0.4789,0.3118,0.1586,0.0001,249.4
76,1.0418,,0.1872,0.4745,0.2955,0.1455,0.0001,250.4
77,1.0317,,0.1786,0.4936,0.3227,0.1627,0.0001,250.3
78,1.0185,,0.1577,0.5104,0.3134,0.1523,0.0001,249.3
79,1.004,,0.1544,0.5136,0.2998,0.1427,0.0001,251.4
80,0.9943,,0.1739,0.5067,0.3253,0.1671,0.0001,251.4
81,0.9795,,0.1836,0.5122,0.3363,0.1738,0.0001,249.9
82,0.9786,,0.186,0.4971,0.3121,0.1589,0.0001,250.7
83,0.965,,0.1592,0.5049,0.3197,0.165,0.0001,251.4
84,0.9529,,0.1964,0.4844,0.3228,0.1621,0.0001,250.4
85,0.9359,,0.2105,0.4783,0.3274,0.1669,0.0001,251.5
86,0.9292,,0.1755,0.5084,0.3254,0.1656,0.0001,251.0
87,0.9198,,0.1986,0.4676,0.3138,0.1552,0.0001,250.3
88,0.9105,,0.1657,0.4881,0.3128,0.1538,0.0001,250.7
89,0.9072,,0.2177,0.4928,0.3158,0.1594,0.0001,249.5
90,0.8876,,0.2252,0.463,0.3266,0.1718,0.0001,250.4
91,0.8749,,0.1932,0.4887,0.3235,0.1667,0.0001,250.0
92,0.8698,,0.2108,0.4728,0.3167,0.1559,0.0001,251.4
93,0.8588,,0.2286,0.4583,0.319,0.1648,0.0001,249.9
