epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,2.9809,,0.0,0.0,0.0166,0.0101,0.0001,138.7
2,2.5745,,0.1453,0.1068,0.0504,0.0252,0.0001,141.5
3,2.3726,,0.0975,0.1962,0.0689,0.034,0.0001,144.6
4,2.2057,,0.1101,0.2159,0.0882,0.0394,0.0001,141.1
5,2.1303,,0.0839,0.287,0.0914,0.0421,0.0001,142.1
6,2.0534,,0.0565,0.342,0.0997,0.0425,0.0001,141.3
7,1.9724,,0.0827,0.3108,0.0928,0.0424,0.0001,143.9
8,1.9359,,0.0917,0.3053,0.1154,0.0498,0.0001,143.2
9,1.9017,,0.0996,0.3423,0.1469,0.068,0.0001,141.9
10,1.8627,,0.09,0.3785,0.1727,0.0797,0.0001,140.7
11,1.8112,,0.0947,0.3785,0.1568,0.071,0.0001,141.3
12,1.7756,,0.0923,0.3828,0.1698,0.0782,0.0001,145.9
13,1.7317,,0.0907,0.4378,0.1988,0.0954,0.0001,144.9
14,1.7056,,0.1061,0.4442,0.2046,0.0927,0.0001,140.9
15,1.6676,,0.1079,0.441,0.1905,0.0876,0.0001,142.3
16,1.6553,,0.0909,0.4777,0.202,0.0942,0.0001,141.2
17,1.6145,,0.1149,0.4708,0.2318,0.1095,0.0001,141.1
18,1.5921,,0.0976,0.4983,0.2329,0.11,0.0001,141.9
19,1.5604,,0.1217,0.4413,0.2304,0.1118,0.0001,144.8
20,1.5464,,0.1012,0.5168,0.2432,0.1161,0.0001,145.0
21,1.5287,,0.1211,0.4661,0.2413,0.1203,0.0001,148.0
22,1.5055,,0.1202,0.4957,0.2425,0.1191,0.0001,149.7
23,1.4855,,0.1014,0.4751,0.227,0.1125,0.0001,145.3
24,1.4801,,0.1071,0.4948,0.2384,0.1126,0.0001,146.6
25,1.455,,0.1389,0.4841,0.2673,0.1322,0.0001,144.9
26,1.4428,,0.1085,0.515,0.2469,0.1087,0.0001,143.8
27,1.4315,,0.1068,0.4884,0.2613,0.1315,0.0001,144.7
28,1.4302,,0.1204,0.4754,0.2632,0.1287,0.0001,144.2
29,1.4141,,0.1231,0.5072,0.2708,0.1349,0.0001,145.1
30,1.3974,,0.1226,0.5266,0.2831,0.1454,0.0001,144.6
31,1.3719,,0.1321,0.5023,0.2724,0.1362,0.0001,144.9
32,1.3609,,0.1354,0.5084,0.2837,0.1457,0.0001,143.8
33,1.3769,,0.1408,0.5046,0.2811,0.1428,0.0001,142.0
34,1.3464,,0.1115,0.5148,0.2799,0.1442,0.0001,140.4
35,1.3408,,0.1342,0.5304,0.289,0.1472,0.0001,142.2
36,1.3251,,0.136,0.5061,0.2765,0.1366,0.0001,140.6
37,1.3351,,0.1249,0.5168,0.2842,0.1396,0.0001,141.0
38,1.3152,,0.1264,0.524,0.2977,0.1485,0.0001,139.8
39,1.2919,,0.1256,0.5145,0.2968,0.1494,0.0001,143.1
40,1.2783,,0.1381,0.5069,0.2895,0.1474,0.0001,143.3
41,1.2662,,0.1287,0.5153,0.3013,0.1532,0.0001,142.9
42,1.2804,,0.1309,0.5188,0.3042,0.1536,0.0001,143.3
43,1.2483,,0.1284,0.4974,0.2847,0.1441,0.0001,141.0
44,1.2641,,0.1296,0.526,0.2868,0.1385,0.0001,141.9
45,1.2441,,0.1342,0.5197,0.2878,0.1413,0.0001,140.7
46,1.2453,,0.1322,0.5084,0.2868,0.1459,0.0001,144.7
47,1.2159,,0.1495,0.4991,0.2829,0.1403,0.0001,140.5
48,1.203,,0.1417,0.5136,0.3041,0.1509,0.0001,138.9
49,1.1951,,0.1525,0.502,0.2998,0.1466,0.0001,137.7
50,1.1828,,0.1538,0.5113,0.2835,0.1349,0.0001,141.3
51,1.1574,,0.1367,0.5347,0.2968,0.146,0.0001,140.9
52,1.1585,,0.1615,0.5038,0.3007,0.1427,0.0001,138.5
53,1.1425,,0.1593,0.4907,0.2939,0.1477,0.0001,139.5
54,1.1403,,0.1729,0.5055,0.3141,0.154,0.0001,138.6
55,1.1199,,0.1636,0.5133,0.2988,0.1497,0.0001,142.2
56,1.1254,,0.154,0.5067,0.3048,0.1574,0.0001,139.5
57,1.1072,,0.1612,0.5113,0.3027,0.1521,0.0001,137.8
58,1.1045,,0.1745,0.4945,0.307,0.1526,0.0001,140.3
59,1.1127,,0.158,0.5009,0.3137,0.1567,0.0001,139.4
60,1.1046,,0.1499,0.5148,0.2872,0.1443,0.0001,140.7
61,1.0802,,0.1588,0.5046,0.2963,0.1477,0.0001,137.3
62,1.097,,0.1488,0.5122,0.2979,0.1531,0.0001,139.7
63,1.0523,,0.1746,0.4997,0.3054,0.1585,0.0001,139.7
64,1.0557,,0.1579,0.5278,0.3078,0.1525,0.0001,143.8
65,1.0486,,0.1793,0.5014,0.3179,0.1666,0.0001,140.3
66,1.0463,,0.1671,0.5003,0.3069,0.1588,0.0001,140.9
67,1.0538,,0.181,0.4711,0.3043,0.1529,0.0001,142.4
68,1.0338,,0.1715,0.502,0.3194,0.1616,0.0001,138.8
69,1.0317,,0.177,0.4988,0.3061,0.1472,0.0001,141.6
70,1.0229,,0.167,0.5119,0.3059,0.1497,0.0001,141.1
71,1.0122,,0.1667,0.5029,0.3039,0.1516,0.0001,141.3
72,1.0197,,0.1721,0.5098,0.324,0.1612,0.0001,137.8
73,1.0186,,0.1995,0.4748,0.3208,0.1654,0.0001,142.0
74,0.9978,,0.1885,0.4722,0.2761,0.1343,0.0001,140.2
75,0.9964,,0.1639,0.5043,0.3023,0.1525,0.0001,138.7
76,0.9793,,0.1738,0.5029,0.3186,0.1614,0.0001,141.4
77,0.9684,,0.1571,0.5014,0.3026,0.1517,0.0001,139.4
78,0.9779,,0.1787,0.4991,0.3099,0.1574,0.0001,140.1
79,0.9557,,0.165,0.5038,0.2926,0.1455,0.0001,141.5
80,0.9586,,0.1883,0.4832,0.2952,0.1435,0.0001,139.0
81,0.945,,0.192,0.4997,0.318,0.1642,0.0001,138.7
82,0.9398,,0.2105,0.4754,0.3255,0.1672,0.0001,141.3
83,0.9482,,0.1955,0.4957,0.3114,0.1591,0.0001,141.9
84,0.9316,,0.1612,0.5124,0.3069,0.1611,0.0001,139.7
85,0.9233,,0.1776,0.485,0.3022,0.1567,0.0001,139.1
86,0.923,,0.1766,0.5067,0.322,0.1675,0.0001,141.8
87,0.9336,,0.1877,0.4667,0.2974,0.151,0.0001,141.5
88,0.9218,,0.2312,0.4803,0.3215,0.1545,0.0001,142.9
89,0.9106,,0.2097,0.4948,0.3365,0.1767,0.0001,142.0
90,0.9112,,0.1729,0.5084,0.3158,0.1555,0.0001,140.3
91,0.9028,,0.1753,0.4948,0.3035,0.1544,0.0001,138.8
92,0.9024,,0.2023,0.4725,0.3075,0.1525,0.0001,141.3
93,0.8909,,0.1751,0.4974,0.3095,0.1553,0.0001,140.9
94,0.8778,,0.1869,0.511,0.3085,0.1588,0.0001,142.2
95,0.8763,,0.2186,0.4922,0.3191,0.161,0.0001,141.3
96,0.8664,,0.1889,0.4919,0.3199,0.1668,0.0001,141.9
97,0.8746,,0.1955,0.4832,0.3128,0.1601,0.0001,139.8
98,0.8541,,0.2147,0.4864,0.3305,0.1702,0.0001,142.5
99,0.8518,,0.2214,0.4797,0.332,0.17,0.0001,142.8
100,0.8519,,0.2164,0.4714,0.3137,0.1572,0.0001,138.5
