detector,variant,n_train,mAP50,mAP5095,precision,recall,fps,epochs
yolov12,baseline,3109,0.617,0.33,0.77,0.658,19.95,32
yolov12,aug_geom,9323,0.64,0.353,0.81,0.69,20.66,32
yolov12,aug_oversample,10405,0.645,0.358,0.815,0.694,19.36,34
yolov12,aug_diffusion,10855,0.651,0.365,0.82,0.7,20.36,98
rtdetr,baseline,3109,0.611,0.369,0.766,0.651,,25
rtdetr,aug_geom,9323,0.63,0.347,0.793,0.681,19.38,26
rtdetr,aug_oversample,10405,0.632,0.35,0.796,0.683,20.78,27
rtdetr,aug_diffusion,10855,0.635,0.353,0.8,0.686,17.99,28
faster_rcnn,baseline,3109,0.48705,0.2744999999999999,0.5094000000000001,0.6275999999999999,57.33,34
faster_rcnn,aug_geom,9323,0.5412,0.29025,0.3171,0.8298000000000001,30.61,19
faster_rcnn,aug_oversample,10405,0.55155,0.3006,0.4011,0.7665,30.32,19
faster_rcnn,aug_diffusion,10855,0.558,0.298329215896885,0.3733984962406015,0.7656766917293234,30.74,19
detr,baseline,3109,0.50475,0.26505,0.31455,0.7422,64.03,100
detr,aug_geom,9323,0.49185,0.243,0.21825,0.8111999999999999,58.49,76
detr,aug_oversample,10405,0.50445,0.2607,0.2754,0.7683,61.05,96
detr,aug_diffusion,10855,0.474,0.2336979100696643,0.1856675110829639,0.8112634578847371,57.87,61
