epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.559,2.42832,3.79212,2.49226,0.30342,0.21188,0.15667,0.06587,2.19462,2.80906,2.11646,0.00333088,0.00333088,0.00333088
2,374.975,2.10706,3.01059,2.21586,0.26334,0.22153,0.16757,0.07476,2.0904,2.64438,2.07748,0.00659823,0.00659823,0.00659823
3,550.404,2.14696,3.12936,2.2788,0.20783,0.15014,0.09759,0.04208,2.28603,3.04279,2.29797,0.00979959,0.00979959,0.00979959
4,727.866,2.13789,3.15326,2.30317,0.30473,0.23772,0.17829,0.08001,2.08877,2.58835,2.14149,0.009703,0.009703,0.009703
5,905.924,2.01139,2.87008,2.20546,0.31698,0.23974,0.19749,0.09023,2.06494,2.56563,2.09839,0.009604,0.009604,0.009604
6,1083.31,1.92409,2.67031,2.12157,0.35659,0.28364,0.23438,0.11718,1.92273,2.42347,1.97809,0.009505,0.009505,0.009505
7,1260.46,1.84387,2.48431,2.06039,0.38625,0.29941,0.26639,0.13931,1.90904,2.29651,1.97598,0.009406,0.009406,0.009406
8,1438.27,1.78259,2.34069,2.00653,0.40753,0.32079,0.28361,0.1504,1.85373,2.24417,1.91054,0.009307,0.009307,0.009307
9,1616.44,1.72255,2.20379,1.95408,0.39531,0.32755,0.27785,0.14409,1.85269,2.20288,1.91191,0.009208,0.009208,0.009208
10,1794.29,1.67023,2.09652,1.90609,0.43709,0.36029,0.33313,0.17275,1.84843,2.05778,1.91977,0.009109,0.009109,0.009109
11,1971.38,1.61048,1.97063,1.85377,0.44597,0.34583,0.31897,0.1644,1.8548,2.12918,1.92341,0.00901,0.00901,0.00901
12,2148.77,1.56101,1.87272,1.81271,0.45828,0.37253,0.3486,0.17993,1.83968,2.02695,1.91996,0.008911,0.008911,0.008911
13,2326.61,1.49342,1.75489,1.75713,0.47297,0.36014,0.35048,0.18382,1.85403,2.01775,1.93176,0.008812,0.008812,0.008812
14,2505.39,1.44048,1.64509,1.71039,0.4783,0.37128,0.35076,0.18666,1.83843,1.99972,1.92906,0.008713,0.008713,0.008713
15,2683.61,1.38556,1.552,1.66149,0.47141,0.37753,0.35376,0.1854,1.86758,2.03057,1.95452,0.008614,0.008614,0.008614
16,2861.1,1.33638,1.45303,1.61946,0.469,0.36397,0.35131,0.18715,1.86243,2.04337,1.96959,0.008515,0.008515,0.008515
17,3038.68,1.27587,1.35275,1.56988,0.4462,0.38144,0.3456,0.17841,1.86861,2.05458,1.97497,0.008416,0.008416,0.008416
18,3215.94,1.2192,1.26606,1.52069,0.49283,0.37609,0.36136,0.19153,1.86966,2.0294,1.99377,0.008317,0.008317,0.008317
19,3393.84,1.16456,1.15505,1.47395,0.44687,0.3842,0.3486,0.18386,1.89611,2.07375,2.02308,0.008218,0.008218,0.008218
20,3571.78,1.11515,1.08156,1.43255,0.47316,0.3789,0.35673,0.18537,1.88829,2.04344,2.04697,0.008119,0.008119,0.008119
21,3749.73,1.06794,1.0151,1.39407,0.48167,0.35588,0.34442,0.18185,1.91483,2.14396,2.08253,0.00802,0.00802,0.00802
22,3927.62,1.02233,0.9361,1.35584,0.44468,0.38204,0.33376,0.17175,1.94008,2.203,2.12169,0.007921,0.007921,0.007921
23,4106.2,0.99136,0.88264,1.32791,0.43909,0.3788,0.34102,0.18353,1.90732,2.20407,2.08783,0.007822,0.007822,0.007822
24,4283.23,0.94732,0.82178,1.28983,0.44349,0.36362,0.33857,0.17834,1.92162,2.28402,2.12494,0.007723,0.007723,0.007723
25,4461.05,0.91776,0.78448,1.2662,0.47401,0.34765,0.32723,0.17609,1.94134,2.26624,2.16208,0.007624,0.007624,0.007624
26,4638.09,0.87728,0.73439,1.23125,0.47796,0.36378,0.33897,0.18261,1.92344,2.31069,2.15949,0.007525,0.007525,0.007525
27,4816.01,0.8483,0.69358,1.20598,0.46878,0.36435,0.33878,0.18384,1.95264,2.3479,2.21379,0.007426,0.007426,0.007426
28,4993.29,0.81888,0.6629,1.18398,0.44571,0.37147,0.33542,0.18372,1.94252,2.37171,2.21765,0.007327,0.007327,0.007327
29,5171.42,0.79179,0.62511,1.1596,0.49743,0.34449,0.33466,0.18199,1.9633,2.39161,2.22275,0.007228,0.007228,0.007228
30,5349.19,0.76772,0.60075,1.14075,0.48379,0.34866,0.33007,0.17735,1.97729,2.42775,2.27684,0.007129,0.007129,0.007129
31,5527.25,0.74258,0.57953,1.12166,0.47949,0.3472,0.3263,0.17833,1.97116,2.48417,2.27867,0.00703,0.00703,0.00703
32,5704.34,0.71688,0.54782,1.10292,0.4787,0.34317,0.33207,0.18545,1.94929,2.48154,2.25597,0.006931,0.006931,0.006931
33,5881.47,0.69895,0.52771,1.08697,0.47195,0.3516,0.33255,0.1837,1.96095,2.47038,2.30089,0.006832,0.006832,0.006832
