epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.751,2.43916,3.7515,2.4869,0.4874850174796071,0.37807432994839346,0.2658140502746795,0.11490511070417844,2.12902,2.73879,2.05119,0.00332842,0.00332842,0.00332842
2,244.389,2.08479,2.88411,2.16642,0.4999754453138005,0.36345097386382547,0.2836282670218079,0.11594597969036123,2.15686,2.726,2.09525,0.00659581,0.00659581,0.00659581
3,362.881,2.13076,3.03974,2.23894,0.34241176960213077,0.2714279174296653,0.1556355085733311,0.07076202763442649,2.25343,3.18346,2.20351,0.00979719,0.00979719,0.00979719
4,479.321,2.12011,3.07229,2.26754,0.4597740136507408,0.3324467288163809,0.2510029965040786,0.10364324954220076,2.19569,2.81181,2.2071,0.009703,0.009703,0.009703
5,594.321,1.99869,2.8044,2.17073,0.5406546529049442,0.42518644914266684,0.3484522224071916,0.15737597802563674,2.04849,2.58428,2.06801,0.009604,0.009604,0.009604
6,708.875,1.91291,2.57253,2.09318,0.6200166472448809,0.47509697020143166,0.4104607125020809,0.20508531713001496,1.9451,2.36893,1.9737,0.009505,0.009505,0.009505
7,824.412,1.83137,2.39291,2.01959,0.7205372898285333,0.49342308972864984,0.45781171966039613,0.22777967371400032,1.91921,2.34889,1.96336,0.009406,0.009406,0.009406
8,940.117,1.75922,2.22705,1.96071,0.585343765606792,0.5642363076410853,0.4790898118861328,0.24564508073913766,1.8377,2.21641,1.88695,0.009307,0.009307,0.009307
9,1055.48,1.69016,2.08017,1.89897,0.7640319627101714,0.5717271516564009,0.536764191776261,0.2784409855168969,1.86196,2.10558,1.89994,0.009208,0.009208,0.009208
10,1170.53,1.63434,1.96774,1.8524,0.7704136840352921,0.5778017313134676,0.5523430997169968,0.2917675212252372,1.84335,2.08198,1.89804,0.009109,0.009109,0.009109
11,1284.69,1.56515,1.83157,1.78858,0.7043270351256866,0.6363804727817546,0.5529915099051106,0.2893615781588147,1.83373,2.04987,1.8804,0.00901,0.00901,0.00901
12,1399.13,1.51174,1.72625,1.74452,0.7189845180622606,0.6446903612452138,0.5724096886965206,0.30142542034293324,1.85266,2.03244,1.91719,0.008911,0.008911,0.008911
13,1513.21,1.44057,1.61152,1.68831,0.7651581488263691,0.6518911270184784,0.5914865989678708,0.31437656067920755,1.83712,1.93706,1.91046,0.008812,0.008812,0.008812
14,1626.95,1.3832,1.48871,1.63882,0.8116730481105376,0.65890419510571,0.615,0.3257237389712002,1.84335,1.95419,1.919,0.008713,0.008713,0.008713
15,1741.79,1.31883,1.38223,1.58373,0.7782969868486765,0.609727401365074,0.5828354419843516,0.31075911436657233,1.86657,2.0044,1.96008,0.008614,0.008614,0.008614
16,1855.15,1.25738,1.27351,1.53149,0.7587081737972364,0.6363975362077576,0.5883469285833194,0.3129944231729649,1.88935,2.08949,1.99104,0.008515,0.008515,0.008515
17,1969.28,1.19618,1.18211,1.4826,0.8018786415848177,0.6296062926585649,0.6007520392874979,0.317174962543699,1.88592,2.02067,2.00402,0.008416,0.008416,0.008416
18,2083.47,1.14347,1.08549,1.43767,0.7836378391876143,0.6314662060928916,0.5885516896953553,0.3127384717829199,1.89905,2.10058,2.01231,0.008317,0.008317,0.008317
19,2196.87,1.09311,1.00816,1.39238,0.7866921924421507,0.614556350923922,0.5822894123522556,0.31487140003329445,1.91027,2.11287,2.04298,0.008218,0.008218,0.008218
20,2310.38,1.0399,0.92579,1.34969,0.8054278341934409,0.6177130847344764,0.5721537373064757,0.3077730148160479,1.926,2.11462,2.07413,0.008119,0.008119,0.008119
21,2424.24,0.99275,0.85447,1.31,0.7790989678708173,0.6324900116530714,0.5791497419677043,0.3146325120692525,1.93061,2.15837,2.08449,0.00802,0.00802,0.00802
22,2537.59,0.94578,0.79117,1.27365,0.7651240219743632,0.6373701514899283,0.5716588979523888,0.30946229399034453,1.93636,2.22156,2.12762,0.007921,0.007921,0.007921
23,2651.88,0.91046,0.74218,1.24149,0.7790989678708173,0.6287360579324122,0.5715735808223739,0.3102984018644914,1.93795,2.24578,2.1361,0.007822,0.007822,0.007822
24,2764.1,0.87377,0.69628,1.21216,0.8091476610620941,0.6197777592808389,0.5778017313134676,0.31744797735974695,1.92325,2.27601,2.13509,0.007723,0.007723,0.007723
25,2878.26,0.83887,0.65676,1.18327,0.8659347428000665,0.5785695854836024,0.5767779257532878,0.31239720326285997,1.94499,2.23608,2.17581,0.007624,0.007624,0.007624
26,2992.48,0.80877,0.61832,1.15948,0.8084139337439653,0.5956842017646079,0.5558069751956051,0.3044456467454636,1.95402,2.33655,2.19265,0.007525,0.007525,0.007525
27,3105.75,0.77748,0.58471,1.13594,0.7437264857666056,0.6327288996171132,0.5606359247544531,0.3106396703845513,1.94708,2.34907,2.21568,0.007426,0.007426,0.007426
28,3219.66,0.75352,0.55932,1.11739,0.7864874313301148,0.6091984351589811,0.5670176460795737,0.30761944398202096,1.96618,2.3994,2.24945,0.007327,0.007327,0.007327
29,3333.22,0.72276,0.52742,1.0927,0.8406808723156317,0.5908040619277509,0.5630759946728816,0.31603171300149824,1.95966,2.42422,2.26054,0.007228,0.007228,0.007228
