epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.897,2.43916,3.7515,2.4869,0.4977895788247045,0.3860661450529937,0.2714328838577215,0.11733399922312857,2.12902,2.73879,2.05119,0.00332842,0.00332842,0.00332842
2,243.25,2.08479,2.88411,2.16642,0.5105440319627101,0.3711336773763942,0.2896236612840575,0.11839687031796237,2.15686,2.726,2.09525,0.00659581,0.00659581,0.00659581
3,361.928,2.13076,3.03974,2.23894,0.3496497419677043,0.2771654181233006,0.15892536485211697,0.07225781033238998,2.25343,3.18346,2.20351,0.00979719,0.00979719,0.00979719
4,478.632,2.12011,3.07229,2.26754,0.46949281393929304,0.3394740580433938,0.2563087509017258,0.10583408245935298,2.19569,2.81181,2.2071,0.009703,0.009703,0.009703
5,594.309,1.99869,2.8044,2.17073,0.5520831252427724,0.43417413018145495,0.35581787914100216,0.16070262471560956,2.04849,2.58428,2.06801,0.009604,0.009604,0.009604
6,710.211,1.91291,2.57253,2.09318,0.6331226901947727,0.48513967038455136,0.41913711780700297,0.2094204539148771,1.9451,2.36893,1.9737,0.009505,0.009505,0.009505
7,825.527,1.83137,2.39291,2.01959,0.7357681593696243,0.5038531713001497,0.46748904056378665,0.23259452860551577,1.91921,2.34889,1.96336,0.009406,0.009406,0.009406
8,940.73,1.75922,2.22705,1.96071,0.597716885855391,0.5761632539814661,0.4892169136007991,0.25083757838077797,1.8377,2.21641,1.88695,0.009307,0.009307,0.009307
9,1056.55,1.69016,2.08017,1.89897,0.7801822318406303,0.5838124410410077,0.5481104267243772,0.2843267299261972,1.86196,2.10558,1.89994,0.009208,0.009208,0.009208
10,1172.5,1.63434,1.96774,1.8524,0.7866988513401032,0.590015426446923,0.5640186449142667,0.29793496476333164,1.84335,2.08198,1.89804,0.009109,0.009109,0.009109
11,1288.29,1.56515,1.83157,1.78858,0.7192152488763109,0.6498324177348649,0.5646807613339991,0.2954781643637978,1.83373,2.04987,1.8804,0.00901,0.00901,0.00901
12,1403.13,1.51174,1.72625,1.74452,0.734182564785528,0.6583179623772265,0.5845094056933577,0.30779701459408465,1.85266,2.03244,1.91719,0.008911,0.008911,0.008911
13,1516.61,1.44057,1.61152,1.68831,0.7813322235170079,0.6656709394595194,0.6039895677265412,0.3210219188724266,1.83712,1.93706,1.91046,0.008812,0.008812,0.008812
14,1630.83,1.3832,1.48871,1.63882,0.8288303645746629,0.6728322512624161,0.628,0.33260895621774594,1.84335,1.95419,1.919,0.008713,0.008713,0.008713
15,1745.71,1.31883,1.38223,1.58373,0.7947487930747461,0.622615948060596,0.5951555407580045,0.3173280062149714,1.86657,2.0044,1.96008,0.008614,0.008614,0.008614
16,1860.61,1.25738,1.27351,1.53149,0.7747459075523,0.6498498418511737,0.6007835303257311,0.3196105654514178,1.88935,2.08949,1.99104,0.008515,0.008515,0.008515
17,1974.52,1.19618,1.18211,1.4826,0.8188289218134399,0.6429150435602907,0.613450862882193,0.32387947394706174,1.88592,2.02067,2.00402,0.008416,0.008416,0.008416
18,2088.69,1.14347,1.08549,1.43767,0.8002025414793851,0.6448142722379446,0.6009926197214361,0.3193492037067865,1.89905,2.10058,2.01231,0.008317,0.008317,0.008317
19,2203.1,1.09311,1.00816,1.39238,0.8033214582986515,0.6275469729759724,0.5945979690361245,0.3215272182453804,1.91027,2.11287,2.04298,0.008218,0.008218,0.008218
20,2317.16,1.0399,0.92579,1.34969,0.82245313800566,0.6307704344930913,0.5842480439487264,0.31427878586094,1.926,2.11462,2.07413,0.008119,0.008119,0.008119
21,2430.14,0.99275,0.85447,1.31,0.7955677265412574,0.6458597192164697,0.5913919316353143,0.32128328061705785,1.93061,2.15837,2.08449,0.00802,0.00802,0.00802
22,2544.32,0.94578,0.79117,1.27365,0.7812973752843905,0.6508430164807724,0.5837427445757727,0.31600377337550634,1.93636,2.22156,2.12762,0.007921,0.007921,0.007921
23,2658.83,0.91046,0.74218,1.24149,0.7955677265412574,0.6420264136285445,0.5836556239942289,0.31685755507463514,1.93795,2.24578,2.1361,0.007822,0.007822,0.007822
24,2773.27,0.87377,0.69628,1.21216,0.8262515953609677,0.6328787525664502,0.590015426446923,0.3241582598080018,1.92325,2.27601,2.13509,0.007723,0.007723,0.007723
25,2887.18,0.83887,0.65676,1.18327,0.8842390544364908,0.5907995116808168,0.5889699794683979,0.3190007213806115,1.94499,2.23608,2.17581,0.007624,0.007624,0.007624
26,3001.46,0.80877,0.61832,1.15948,0.8255023583596914,0.608275900338494,0.5675557405249432,0.31088108318073354,1.95402,2.33655,2.19265,0.007525,0.007525,0.007525
27,3115.56,0.77748,0.58471,1.13594,0.7594475334332168,0.6461036568447921,0.5724867654403196,0.31720603740081016,1.94708,2.34907,2.21568,0.007426,0.007426,0.007426
28,3229.13,0.75352,0.55932,1.11739,0.8031123689029466,0.6220758004550246,0.5790033849397924,0.3141219688141612,1.96618,2.3994,2.24945,0.007327,0.007327,0.007327
29,3343.12,0.72276,0.52742,1.0927,0.8584513622995394,0.6032926030741912,0.574978414072471,0.3227120581543755,1.95966,2.42422,2.26054,0.007228,0.007228,0.007228
