epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.522,2.42832,3.79212,2.49226,0.5306659287137481,0.3705671906132389,0.27400774850564535,0.11520323223378347,2.19462,2.80906,2.11646,0.00333088,0.00333088,0.00333088
2,380.463,2.10706,3.01059,2.21586,0.4605680761567412,0.3874445428381669,0.2930712862519371,0.13075138366172237,2.0904,2.64438,2.07748,0.00659823,0.00659823,0.00659823
3,559.023,2.14696,3.12936,2.2788,0.3634839495240203,0.26258711534204116,0.17067987602390966,0.07359574939118883,2.28603,3.04279,2.29797,0.00979959,0.00979959,0.00979959
4,736.704,2.13789,3.15326,2.30317,0.5329570511401373,0.41576001771087,0.3118200132831525,0.13993336285145005,2.08877,2.58835,2.14149,0.009703,0.009703,0.009703
5,914.796,2.01139,2.87008,2.20546,0.5543816692495018,0.4192928935133938,0.3453998228912995,0.15780761567412,2.06494,2.56563,2.09839,0.009604,0.009604,0.009604
6,1092.36,1.92409,2.67031,2.12157,0.6236575160504759,0.49607172902368823,0.4099185299977861,0.20494177551472215,1.92273,2.42347,1.97809,0.009505,0.009505,0.009505
7,1270.21,1.84387,2.48431,2.06039,0.6755313261013947,0.5236526455612132,0.4659023688288687,0.24364600398494574,1.90904,2.29651,1.97598,0.009406,0.009406,0.009406
8,1448.5,1.78259,2.34069,2.00653,0.7127489484170909,0.5610451627186186,0.49601926057117546,0.26304184193048485,1.85373,2.24417,1.91054,0.009307,0.009307,0.009307
9,1626.14,1.72255,2.20379,1.95408,0.691376798760239,0.5728680540181537,0.4859453176887314,0.25200597741864067,1.85269,2.20288,1.91191,0.009208,0.009208,0.009208
10,1804.07,1.67023,2.09652,1.90609,0.7644478636263006,0.6301286251937126,0.5826271861855213,0.3021308390524684,1.84843,2.05778,1.91977,0.009109,0.009109,0.009109
11,1982.36,1.61048,1.97063,1.85377,0.7799785255700685,0.604838831082577,0.5578620765995129,0.28752711976975864,1.8548,2.12918,1.92341,0.00901,0.00901,0.00901
12,2160.02,1.56101,1.87272,1.81271,0.8015080805844587,0.6515357538189063,0.6096834181979189,0.31468828868718174,1.83968,2.02695,1.91996,0.008911,0.008911,0.008911
13,2337.76,1.49342,1.75489,1.75713,0.8272001328315253,0.629866282931149,0.61297144122205,0.3214916980296657,1.85403,2.01775,1.93176,0.008812,0.008812,0.008812
14,2515.81,1.44048,1.64509,1.71039,0.8365220278946203,0.6493495682975425,0.6134611467788355,0.3264587115342041,1.83843,1.99972,1.92906,0.008713,0.008713,0.008713
15,2693.99,1.38556,1.552,1.66149,0.8244717733008633,0.6602804959043612,0.6187079920301085,0.32425503652866944,1.86758,2.03057,1.95452,0.008614,0.008614,0.008614
16,2871.82,1.33638,1.45303,1.61946,0.820256807615674,0.6365647553686075,0.6144230684082356,0.3273156962585787,1.86243,2.04337,1.96959,0.008515,0.008515,0.008515
17,3050.01,1.27587,1.35275,1.56988,0.7803807837059995,0.6671188842151871,0.604436572946646,0.31202988709320345,1.86861,2.05458,1.97497,0.008416,0.008416,0.008416
18,3228.28,1.2192,1.26606,1.52069,0.8619342483949524,0.6577620101837502,0.632,0.33497609032543724,1.86966,2.0294,1.99377,0.008317,0.008317,0.008317
19,3405.83,1.16456,1.15505,1.47395,0.7815525791454504,0.6719459818463581,0.6096834181979189,0.32156165596634934,1.89611,2.07375,2.02308,0.008218,0.008218,0.008218
20,3583.4,1.11515,1.08156,1.43255,0.8275324330307726,0.662676555235776,0.6239023688288686,0.3242025680761567,1.88829,2.04344,2.04697,0.008119,0.008119,0.008119
21,3760.65,1.06794,1.0151,1.39407,0.8424159840602169,0.6224157626743413,0.6023728138144786,0.3180462696479965,1.91483,2.14396,2.08253,0.00802,0.00802,0.00802
22,3938.46,1.02233,0.9361,1.35584,0.7777223821120213,0.6681682532654416,0.5837290236882886,0.30038189063537746,1.94008,2.203,2.12169,0.007921,0.007921,0.007921
23,4116.88,0.99136,0.88264,1.32791,0.7679457604604826,0.6625016603940669,0.5964263891963693,0.3209845029887093,1.90732,2.20407,2.08783,0.007822,0.007822,0.007822
24,4294.9,0.94732,0.82178,1.28983,0.7756411334956829,0.6359526234226256,0.5921414655744963,0.31190746070400704,1.92162,2.28402,2.12494,0.007723,0.007723,0.007723
25,4473.16,0.91776,0.78448,1.2662,0.8290190391852998,0.6080219172016825,0.5723083905246845,0.3079723267655523,1.94134,2.26624,2.16208,0.007624,0.007624,0.007624
26,4650.66,0.87728,0.73439,1.23125,0.8359273854328093,0.6362324551693601,0.5928410449413327,0.3193754704449856,1.92344,2.31069,2.15949,0.007525,0.007525,0.007525
27,4828.3,0.8483,0.69358,1.20598,0.819872038963914,0.637229355767102,0.5925087447420855,0.3215266769980075,1.95264,2.3479,2.21379,0.007426,0.007426,0.007426
28,5005.79,0.81888,0.6629,1.18398,0.7795237989816249,0.6496818684967899,0.5866322780606597,0.3213168031879566,1.94252,2.37171,2.21765,0.007327,0.007327,0.007327
29,5183.75,0.79179,0.62511,1.1596,0.8699794111135709,0.602495240203675,0.5853030772636706,0.3182911224263892,1.9633,2.39161,2.22275,0.007228,0.007228,0.007228
30,5361.65,0.76772,0.60075,1.14075,0.8461237547044498,0.6097883551029444,0.5772754040292228,0.310176001771087,1.97729,2.42775,2.27684,0.007129,0.007129,0.007129
31,5540.06,0.74258,0.57953,1.12166,0.8386032765109586,0.6072348904139916,0.5706818684967898,0.31188997121983614,1.97116,2.48417,2.27867,0.00703,0.00703,0.00703
32,5717.47,0.71688,0.54782,1.10292,0.8372216072614567,0.6001866282931149,0.5807733008634048,0.32434248394952403,1.94929,2.48154,2.25597,0.006931,0.006931,0.006931
33,5895.04,0.69895,0.52771,1.08697,0.8254162054460924,0.614930263449192,0.5816127961036086,0.32128182421961476,1.96095,2.47038,2.30089,0.006832,0.006832,0.006832
