epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.216,2.01185,3.25599,2.14772,0.3204,0.32581,0.23228,0.11488,1.81436,2.29708,1.79883,0.00332842,0.00332842,0.00332842
2,242.217,1.94714,2.70379,2.049,0.23438,0.23198,0.14081,0.05717,2.18388,2.76651,2.11342,0.00659581,0.00659581,0.00659581
3,361.492,2.08131,2.98131,2.18628,0.23412,0.19545,0.12158,0.05278,2.25292,3.09008,2.21159,0.00979719,0.00979719,0.00979719
4,478.369,2.1061,3.0467,2.23819,0.30549,0.23513,0.16968,0.07545,2.09909,2.75576,2.12106,0.009703,0.009703,0.009703
5,595.176,1.98145,2.78599,2.13497,0.3569,0.26146,0.20514,0.101,1.9938,2.57067,2.00428,0.009604,0.009604,0.009604
6,712.086,1.89263,2.56789,2.0473,0.39722,0.26182,0.24244,0.12288,1.88165,2.37941,1.89918,0.009505,0.009505,0.009505
7,828.384,1.81226,2.38691,1.97256,0.37435,0.3156,0.27757,0.14639,1.87068,2.21975,1.87986,0.009406,0.009406,0.009406
8,944.747,1.74813,2.24242,1.91555,0.39375,0.30368,0.28613,0.14703,1.84377,2.19052,1.85666,0.009307,0.009307,0.009307
9,1060.57,1.69424,2.12715,1.86248,0.38958,0.34241,0.29192,0.15384,1.8164,2.17241,1.83575,0.009208,0.009208,0.009208
10,1175.66,1.63593,2.00064,1.81323,0.44926,0.34931,0.33459,0.17971,1.77662,2.02497,1.80012,0.009109,0.009109,0.009109
11,1291.44,1.57194,1.88039,1.76126,0.42696,0.35608,0.31701,0.16911,1.7615,2.05773,1.79524,0.00901,0.00901,0.00901
12,1407.27,1.52832,1.7776,1.72178,0.47976,0.35932,0.34483,0.18988,1.75346,1.98664,1.79322,0.008911,0.008911,0.008911
13,1522.62,1.46942,1.67475,1.67673,0.4742,0.38322,0.37722,0.20647,1.76771,1.91395,1.79419,0.008812,0.008812,0.008812
14,1638.42,1.42278,1.56967,1.63256,0.46533,0.4029,0.35441,0.19022,1.76472,1.92202,1.80361,0.008713,0.008713,0.008713
15,1753.89,1.36302,1.46191,1.58272,0.46194,0.37958,0.36343,0.19271,1.78043,1.97314,1.82495,0.008614,0.008614,0.008614
16,1867.65,1.30522,1.36987,1.53734,0.42753,0.39074,0.34585,0.18502,1.80856,1.99562,1.85883,0.008515,0.008515,0.008515
17,1982.94,1.25291,1.27278,1.49315,0.47768,0.38671,0.37592,0.2024,1.81516,1.94413,1.86601,0.008416,0.008416,0.008416
18,2098.06,1.19767,1.18211,1.44586,0.44542,0.39338,0.35647,0.18972,1.8059,2.00841,1.87083,0.008317,0.008317,0.008317
19,2213.2,1.15206,1.10707,1.41081,0.45144,0.3995,0.36092,0.19134,1.82041,2.03541,1.8927,0.008218,0.008218,0.008218
20,2328.21,1.10645,1.03369,1.37081,0.46237,0.37994,0.35687,0.19234,1.8483,2.05073,1.93112,0.008119,0.008119,0.008119
21,2442.94,1.0586,0.9638,1.33276,0.45242,0.39602,0.36506,0.19772,1.83073,2.05958,1.92342,0.00802,0.00802,0.00802
