epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.723,2.43916,3.7515,2.4869,0.4930336274346595,0.3823776150047167,0.2688395760501637,0.1162129737528439,2.12902,2.73879,2.05119,0.00332842,0.00332842,0.00332842
2,241.777,2.08479,2.88411,2.16642,0.5056662227401365,0.3675878142167471,0.2868565562399423,0.1172656900283003,2.15686,2.726,2.09525,0.00659581,0.00659581,0.00659581
3,359.227,2.13076,3.03974,2.23894,0.3463091393374396,0.2745173408800843,0.15740696964652348,0.07156744908717606,2.25343,3.18346,2.20351,0.00979719,0.00979719,0.00979719
4,475.631,2.12011,3.07229,2.26754,0.4650072138061151,0.336230675323234,0.25385994117973476,0.10482292880528273,2.19569,2.81181,2.2071,0.009703,0.009703,0.009703
5,591.41,1.99869,2.8044,2.17073,0.5468084457022363,0.4300259697020143,0.3524183452638588,0.1591672493202375,2.04849,2.58428,2.06801,0.009604,0.009604,0.009604
6,706.856,1.91291,2.57253,2.09318,0.6270737472948227,0.48050457799234225,0.41513262305088505,0.20741962155263302,1.9451,2.36893,1.9737,0.009505,0.009505,0.009505
7,822.628,1.83137,2.39291,2.01959,0.7287385272737361,0.49903928749791904,0.4630225847622218,0.23037228788635478,1.91921,2.34889,1.96336,0.009406,0.009406,0.009406
8,938.685,1.75922,2.22705,1.96071,0.5920062149714223,0.570658509516675,0.4845428666555685,0.24844104100771322,1.8377,2.21641,1.88695,0.009307,0.009307,0.009307
9,1054.26,1.69016,2.08017,1.89897,0.7727282614727262,0.5782346151711891,0.5428737029021696,0.2816102325065201,1.86196,2.10558,1.89994,0.009208,0.009208,0.009208
10,1169.9,1.63434,1.96774,1.8524,0.7791826202763442,0.5843783363853281,0.5586299317462959,0.29508845236113423,1.84335,2.08198,1.89804,0.009109,0.009109,0.009109
11,1284.32,1.56515,1.83157,1.78858,0.712343765606792,0.6436238277565063,0.5592857222129737,0.29265512457688253,1.83373,2.04987,1.8804,0.00901,0.00901,0.00901
12,1398.13,1.51174,1.72625,1.74452,0.7271680816824815,0.6520283003162975,0.5789249209255868,0.3048562787858609,1.85266,2.03244,1.91719,0.008911,0.008911,0.008911
13,1511.53,1.44057,1.61152,1.68831,0.7738672659674823,0.6593110260251928,0.5982189667610011,0.3179548304755562,1.83712,1.93706,1.91046,0.008812,0.008812,0.008812
14,1624.16,1.3832,1.48871,1.63882,0.8209116031296819,0.6664039176516287,0.622,0.32943116364241715,1.84335,1.95419,1.919,0.008713,0.008713,0.008713
15,1739.34,1.31883,1.38223,1.58373,0.7871556517396371,0.616667388047278,0.5894693413240109,0.3142962099772488,1.86657,2.0044,1.96008,0.008614,0.008614,0.008614
16,1853.94,1.25738,1.27351,1.53149,0.7673438765884245,0.6436410854003662,0.5950435602907719,0.31655696132290106,1.88935,2.08949,1.99104,0.008515,0.008515,0.008515
17,1967.7,1.19618,1.18211,1.4826,0.8110057155540757,0.6367725431441096,0.6075898673769491,0.32078508406858663,1.88592,2.02067,2.00402,0.008416,0.008416,0.008416
18,2082.1,1.14347,1.08549,1.43767,0.7925572942677986,0.6386536263248432,0.5952506520170912,0.3162980966650019,1.89905,2.10058,2.01231,0.008317,0.008317,0.008317
19,2196.42,1.09311,1.00816,1.39238,0.7956464125187281,0.6215513012596414,0.5889170967204927,0.31845530214749457,1.91027,2.11287,2.04298,0.008218,0.008218,0.008218
20,2309.39,1.0399,0.92579,1.34969,0.8145953054769435,0.6247439653737306,0.5786660562676876,0.31127612230175905,1.926,2.11462,2.07413,0.008119,0.008119,0.008119
21,2423.27,0.99275,0.85447,1.31,0.7879667610010542,0.6396890849564396,0.5857416902502636,0.3182136951334554,1.93061,2.15837,2.08449,0.00802,0.00802,0.00802
22,2537.62,0.94578,0.79117,1.27365,0.7738327506797625,0.6446247711003827,0.5781655845957493,0.3129846290438932,1.93636,2.22156,2.12762,0.007921,0.007921,0.007921
