config,mAP@50,mAP@50-95,Precision,Recall,Epochs,FPS,Params_M,GFLOPs
yolov12_baseline,0.37629,0.20235,0.4891,0.38119,18.0,20.358446360386818,20.144,67.774
yolov12_se_neck,0.36042,0.19089,0.47568,0.38615,15.0,,20.144,67.774
yolov12_cbam_neck,0.36136,0.19153,0.49283,0.37609,19.0,,20.144,67.774
yolov12_late_fusion,0.288281112909317,0.18611158430576324,,,,,,
yolov12_cgfm,0.36042,0.19089,0.47568,0.38615,15.0,,20.144,67.774
yolov12_cgfm_abl_p5only,0.37722,0.20647,0.4742,0.38322,14.0,,20.144,67.774
yolov12_cgfm_abl_p3only,0.37323,0.2008,0.48081,0.39448,18.0,,20.144,67.774
yolov12_cgfm_abl_effb0,0.36042,0.19089,0.47568,0.38615,15.0,,20.144,67.774
yolov12_cgfm_abl_vittiny,0.36042,0.19089,0.47568,0.38615,15.0,,20.144,67.774
rtdetr_baseline,0.40956,0.24193,0.49153,0.45353,14.0,17.986723607988345,,
rtdetr_cgfm,0.3503064513206482,0.22462031245231628,,,,,,
yolov12_late_fusion,0.288281112909317,0.18611158430576324,,,,,,
yolov12_cgfm_v2,0.36136,0.19153,0.49283,0.37609,19.0,,20.144,67.774
