epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.322,2.01185,3.25599,2.14772,0.5507502065399889,0.5600497028489193,0.3992767102843589,0.1974724835434267,1.81436,2.29708,1.79883,0.00332842,0.00332842,0.00332842
2,244.613,1.94172,2.70974,2.04757,0.48073754763744897,0.40298963302507795,0.3022078458545425,0.13572795352183994,2.01971,2.76941,2.01502,0.00657932,0.00657932,0.00657932
3,363.353,2.06937,2.96239,2.17969,0.34258588065986195,0.3116792367348027,0.1986241771713349,0.08565506489353196,2.21546,3.08318,2.19941,0.00974771,0.00974771,0.00974771
4,480.436,2.08278,3.01345,2.21581,0.49134344268848434,0.40245675985395624,0.30250006662580287,0.13985342323374997,2.02955,2.6139,2.04536,0.00962875,0.00962875,0.00962875
5,596.285,1.97571,2.76183,2.11856,0.5869340138048663,0.4460320336860059,0.36090984196359566,0.17148202435839352,2.01148,2.60522,2.01975,0.009505,0.009505,0.009505
6,713.413,1.8848,2.54886,2.03228,0.615210670788583,0.519190363243877,0.4320226261226448,0.22078138741571834,1.86237,2.28864,1.87302,0.00938125,0.00938125,0.00938125
7,830.171,1.80765,2.37787,1.96411,0.6509991205394025,0.5421382885163766,0.4764058044399435,0.24594675265836954,1.84795,2.22874,1.86713,0.0092575,0.0092575,0.0092575
8,945.693,1.73739,2.2114,1.90647,0.6919100285158436,0.5951677637715534,0.5215796977853583,0.2693759827305919,1.81525,2.17913,1.82705,0.00913375,0.00913375,0.00913375
9,1061.43,1.68279,2.09377,1.85208,0.7033410175092609,0.5723745436132506,0.5238143272126429,0.2769565333262266,1.82034,2.07606,1.82705,0.00901,0.00901,0.00901
10,1177.69,1.62062,1.97757,1.80095,0.706211656850465,0.6446390214002079,0.5598778082775897,0.29550395757268877,1.77372,2.02562,1.79291,0.00888625,0.00888625,0.00888625
11,1293.53,1.55863,1.83759,1.74777,0.6981841803693735,0.668205767129494,0.5726667643845108,0.2990106068278123,1.76138,1.98923,1.78166,0.0087625,0.0087625,0.0087625
12,1409.64,1.51207,1.75002,1.70836,0.7531560642805746,0.6253008821256296,0.5934316286011246,0.3240212669562668,1.75367,1.99749,1.77925,0.00863875,0.00863875,0.00863875
13,1524.89,1.44987,1.63364,1.65686,0.78485342323375,0.6699590917570557,0.6047422913946113,0.3185034512165872,1.77427,1.96026,1.80498,0.008515,0.008515,0.008515
14,1639.77,1.39754,1.53683,1.61171,0.8000489033392852,0.6490739013405111,0.6059799323081844,0.33787596940543135,1.74158,1.96308,1.78399,0.00839125,0.00839125,0.00839125
15,1755.3,1.34238,1.42238,1.56316,0.8030226794232871,0.6530962343096234,0.6191986248434294,0.33385363643631905,1.77321,1.97555,1.81777,0.0082675,0.0082675,0.0082675
16,1870.16,1.28295,1.31818,1.5159,0.7267186792100845,0.6761816752391866,0.6014591050822162,0.33302854249393704,1.7796,2.01126,1.83241,0.00814375,0.00814375,0.00814375
17,1984.15,1.22765,1.22727,1.46816,0.8298726114649682,0.676817685153106,0.645,0.35178224022599475,1.79614,1.92039,1.85619,0.00802,0.00802,0.00802
18,2097.77,1.17018,1.13898,1.41801,0.8041571835940623,0.6333111691495882,0.6098131812488341,0.3300547664099352,1.79144,2.01762,1.8581,0.00789625,0.00789625,0.00789625
19,2212.53,1.12256,1.057,1.38205,0.7978142739120007,0.6750299816112784,0.6295982464088692,0.34294685925965407,1.80806,1.99528,1.88395,0.0077725,0.0077725,0.0077725
20,2326.63,1.07195,0.99212,1.34432,0.8268472670095675,0.660728353276657,0.6336377688351145,0.3465738347147083,1.80615,2.02673,1.90856,0.00764875,0.00764875,0.00764875
21,2441.07,1.02837,0.91881,1.30753,0.850259307624657,0.6645100338459078,0.6369037656903765,0.3498226421128375,1.80442,2.07358,1.91351,0.007525,0.007525,0.007525
22,2555.39,0.98419,0.86085,1.27211,0.8603495189617035,0.63215947552168,0.6157263545025717,0.339663672947259,1.82594,2.08622,1.94631,0.00740125,0.00740125,0.00740125
23,2670.42,0.94042,0.80528,1.23695,0.8000317138821523,0.6380382698611519,0.5983134344268848,0.32771700023985284,1.83637,2.1748,1.9683,0.0072775,0.0072775,0.0072775
24,2785.39,0.90213,0.75574,1.20901,0.8056698558217626,0.636302134690723,0.5864698984622765,0.31800495695973136,1.85289,2.24555,1.99735,0.00715375,0.00715375,0.00715375
25,2900.05,0.86752,0.70836,1.17983,0.8293741172081123,0.6644584654745089,0.6198690136716147,0.33643205500626283,1.85059,2.17992,2.01922,0.00703,0.00703,0.00703
26,3014.33,0.8278,0.6697,1.1518,0.8210716094128934,0.645807904485249,0.6075441729072835,0.33282226900834155,1.86959,2.21919,2.05464,0.00690625,0.00690625,0.00690625
27,3127.49,0.7949,0.62952,1.12571,0.8061855395357513,0.6389493110891986,0.60694254190763,0.3350740878927591,1.85285,2.25494,2.02786,0.0067825,0.0067825,0.0067825
