epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.514,2.42832,3.79212,2.49226,0.5273072835953065,0.36822182864733227,0.27227352224928036,0.11447409785255692,2.19462,2.80906,2.11646,0.00333088,0.00333088,0.00333088
2,372.458,2.10706,3.01059,2.21586,0.45765308833296425,0.3849923621872924,0.29121640469338045,0.12992384325880002,2.0904,2.64438,2.07748,0.00659823,0.00659823,0.00659823
3,547.204,2.14696,3.12936,2.2788,0.3611834181979188,0.2609251715740535,0.16959962364401146,0.07312995350896605,2.28603,3.04279,2.29797,0.00979959,0.00979959,0.00979959
4,721.506,2.13789,3.15326,2.30317,0.5295839052468452,0.4131286251937126,0.3098464688952844,0.13904770865618765,2.08877,2.58835,2.14149,0.009703,0.009703,0.009703
5,895.161,2.01139,2.87008,2.20546,0.5508729245074163,0.41663914102280264,0.34321374806287347,0.15680883329643566,2.06494,2.56563,2.09839,0.009604,0.009604,0.009604
6,1068.8,1.92409,2.67031,2.12157,0.619710316581802,0.4929320345361965,0.40732410892185067,0.20364467566969222,1.92273,2.42347,1.97809,0.009505,0.009505,0.009505
7,1242.68,1.84387,2.48431,2.06039,0.6712558113792338,0.5203383883108257,0.4629536196590657,0.2421039406685853,1.90904,2.29651,1.97598,0.009406,0.009406,0.009406
8,1416.65,1.78259,2.34069,2.00653,0.7082378791233118,0.5574942439672348,0.49287989816249705,0.26137702014611464,1.85373,2.24417,1.91054,0.009307,0.009307,0.009307
9,1590.36,1.72255,2.20379,1.95408,0.6870009962364401,0.5692423068408234,0.48286971441222043,0.2504110028780163,1.85269,2.20288,1.91191,0.009208,0.009208,0.009208
10,1764.13,1.67023,2.09652,1.90609,0.7596095860084126,0.6261404693380561,0.5789396723489041,0.3002186185521362,1.84843,2.05778,1.91977,0.009109,0.009109,0.009109
