epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.99,2.42832,3.79212,2.49226,0.5222693159176445,0.36470378569847245,0.26967218286473316,0.11338039628071724,2.19462,2.80906,2.11646,0.00333088,0.00333088,0.00333088
2,364.778,2.10706,3.01059,2.21586,0.4532806065972991,0.38131409121098075,0.28843408235554563,0.12868253265441662,2.0904,2.64438,2.07748,0.00659823,0.00659823,0.00659823
3,532.715,2.14696,3.12936,2.2788,0.35773262120876675,0.2584322559220721,0.16797924507416417,0.07243125968563205,2.28603,3.04279,2.29797,0.00979959,0.00979959,0.00979959
4,700.058,2.13789,3.15326,2.30317,0.5245241864069072,0.4091815364179765,0.3068861523134823,0.13771922736329417,2.08877,2.58835,2.14149,0.009703,0.009703,0.009703
5,867.358,2.01139,2.87008,2.20546,0.5456098073942882,0.412658512286916,0.33993463582023464,0.15531065972990915,2.06494,2.56563,2.09839,0.009604,0.009604,0.009604
6,1034.7,1.92409,2.67031,2.12157,0.6137895173787913,0.488222492804959,0.4034324773079477,0.20169902590214742,1.92273,2.42347,1.97809,0.009505,0.009505,0.009505
7,1202.23,1.84387,2.48431,2.06039,0.6648425392959929,0.5153670024352447,0.45853049590436123,0.2397908456940447,1.90904,2.29651,1.97598,0.009406,0.009406,0.009406
8,1369.82,1.78259,2.34069,2.00653,0.7014712751826434,0.5521678658401594,0.48817085454947967,0.25887978746955936,1.85373,2.24417,1.91054,0.009307,0.009307,0.009307
9,1537.21,1.72255,2.20379,1.95408,0.6804372924507416,0.5638036860748284,0.47825630949745396,0.24801854106707985,1.85269,2.20288,1.91191,0.009208,0.009208,0.009208
10,1704.47,1.67023,2.09652,1.90609,0.7523521695815806,0.6201582355545715,0.5734084015939783,0.2973502878016382,1.84843,2.05778,1.91977,0.009109,0.009109,0.009109
11,1872.3,1.61048,1.97063,1.85377,0.7676370932034535,0.5952685964135488,0.5490351450077484,0.2829776400265662,1.8548,2.12918,1.92341,0.00901,0.00901,0.00901
12,2039.59,1.56101,1.87272,1.81271,0.7888259907017932,0.6412266437901261,0.6000365286694709,0.30970904361301743,1.83968,2.02695,1.91996,0.008911,0.008911,0.008911
13,2206.99,1.49342,1.75489,1.75713,0.8141115231348239,0.6199000442771752,0.6032725260128404,0.3164048040735001,1.85403,2.01775,1.93176,0.008812,0.008812,0.008812
14,2379.75,1.44048,1.64509,1.71039,0.823285919858313,0.639075049811822,0.6037544830639805,0.3212932255922072,1.83843,1.99972,1.92906,0.008713,0.008713,0.008713
15,2554.5,1.38556,1.552,1.66149,0.8114263338499003,0.6498330197033428,0.6089183086119105,0.31912441886207654,1.86758,2.03057,1.95452,0.008614,0.008614,0.008614
16,2728.04,1.33638,1.45303,1.61946,0.8072780606597298,0.6264925282266992,0.6047011844144344,0.3221366504317024,1.86243,2.04337,1.96959,0.008515,0.008515,0.008515
17,2902.26,1.27587,1.35275,1.56988,0.7680329864954616,0.6565632056674784,0.5948727031215408,0.3070927053353995,1.86861,2.05458,1.97497,0.008416,0.008416,0.008416
18,3076.12,1.2192,1.26606,1.52069,0.8482960482621208,0.6473543834403365,0.622,0.3296758357316803,1.86966,2.0294,1.99377,0.008317,0.008317,0.008317
19,3249.89,1.16456,1.15505,1.47395,0.7691862408678326,0.6613139251715741,0.6000365286694709,0.31647365508080577,1.89611,2.07375,2.02308,0.008218,0.008218,0.008218
20,3423.77,1.11515,1.08156,1.43255,0.8144385654195263,0.6521911667035643,0.6140304959043613,0.3190727806065973,1.88829,2.04344,2.04697,0.008119,0.008119,0.008119
21,3598.03,1.06794,1.0151,1.39407,0.829086617223821,0.6125674119991144,0.5928415984060217,0.3130138919636927,1.91483,2.14396,2.08253,0.00802,0.00802,0.00802
22,3774.46,1.02233,0.9361,1.35584,0.7654166482178437,0.6575959707770643,0.5744928049590436,0.2956290126189949,1.94008,2.203,2.12169,0.007921,0.007921,0.007921
23,3948.4,0.99136,0.88264,1.32791,0.7557947199468673,0.6520190391853,0.5869892627850343,0.31590563427053353,1.90732,2.20407,2.08783,0.007822,0.007822,0.007822
24,4122.07,0.94732,0.82178,1.28983,0.763368330750498,0.625890081912774,0.582772138587558,0.3069722160726145,1.92162,2.28402,2.12494,0.007723,0.007723,0.007723
25,4296.52,0.91776,0.78448,1.2662,0.815901649324773,0.5984013172459597,0.5632528780163826,0.303099346911667,1.94134,2.26624,2.16208,0.007624,0.007624,0.007624
26,4470.51,0.87728,0.73439,1.23125,0.8227006862962143,0.6261654859419968,0.5834606486606154,0.3143220611025016,1.92344,2.31069,2.15949,0.007525,0.007525,0.007525
27,4644.41,0.8483,0.69358,1.20598,0.8068993801195483,0.6271466127961036,0.5831336063759133,0.316439229577153,1.95264,2.3479,2.21379,0.007426,0.007426,0.007426
28,4818.26,0.81888,0.6629,1.18398,0.7671895616559663,0.6394020920965242,0.5773501217622315,0.31623267655523574,1.94252,2.37171,2.21765,0.007327,0.007327,0.007327
