epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.393,2.42832,3.79212,2.49226,0.30342,0.21188,0.15667,0.06587,2.19462,2.80906,2.11646,0.00333088,0.00333088,0.00333088
2,352.915,2.09861,2.9961,2.21046,0.27804,0.22223,0.17483,0.07872,2.06846,2.7349,2.10085,0.00658174,0.00658174,0.00658174
3,517.61,2.14058,3.10886,2.28156,0.21973,0.16425,0.11092,0.04821,2.25222,2.96158,2.25011,0.0097501,0.0097501,0.0097501
4,682.705,2.13143,3.16778,2.30856,0.28963,0.23769,0.1717,0.07348,2.1161,2.66761,2.1768,0.00962875,0.00962875,0.00962875
5,846.467,2.01767,2.89808,2.21685,0.34242,0.25689,0.20578,0.09534,2.0331,2.49888,2.08505,0.009505,0.009505,0.009505
6,1010.46,1.91971,2.6747,2.12915,0.35914,0.29305,0.24463,0.11668,1.96321,2.37333,2.02534,0.00938125,0.00938125,0.00938125
7,1175.09,1.8452,2.47817,2.0619,0.39375,0.2959,0.26858,0.13504,1.92359,2.29767,2.01623,0.0092575,0.0092575,0.0092575
8,1339.36,1.77824,2.34099,2.01142,0.41724,0.29068,0.28099,0.14172,1.89381,2.30026,1.96907,0.00913375,0.00913375,0.00913375
9,1503.32,1.72191,2.20444,1.95508,0.4323,0.32685,0.29667,0.15172,1.86771,2.15621,1.9235,0.00901,0.00901,0.00901
10,1668.23,1.66382,2.09606,1.9064,0.42613,0.34783,0.31719,0.16874,1.84355,2.11702,1.92765,0.00888625,0.00888625,0.00888625
11,1834.62,1.60246,1.96865,1.84904,0.42351,0.35857,0.31371,0.15853,1.8623,2.09394,1.94153,0.0087625,0.0087625,0.0087625
12,1998.45,1.5514,1.85783,1.80852,0.44292,0.35865,0.33269,0.17121,1.84563,2.07023,1.93411,0.00863875,0.00863875,0.00863875
13,2162.53,1.48519,1.74086,1.75447,0.45468,0.36875,0.33575,0.17375,1.85028,2.04138,1.94159,0.008515,0.008515,0.008515
14,2328.84,1.43061,1.64274,1.70659,0.43996,0.36704,0.33318,0.17341,1.85551,2.06469,1.95357,0.00839125,0.00839125,0.00839125
15,2497.29,1.37386,1.54326,1.65766,0.4514,0.37333,0.34621,0.17952,1.86759,2.04926,1.99315,0.0082675,0.0082675,0.0082675
16,2665.59,1.32105,1.44215,1.61101,0.47487,0.36302,0.34375,0.18366,1.87226,2.06814,1.97731,0.00814375,0.00814375,0.00814375
17,2839.72,1.26339,1.33741,1.56567,0.4749,0.36027,0.34685,0.18169,1.88676,2.07056,2.01326,0.00802,0.00802,0.00802
18,3010.4,1.20504,1.24672,1.5139,0.47649,0.34041,0.33317,0.17702,1.90778,2.14344,2.03511,0.00789625,0.00789625,0.00789625
19,3180.06,1.14548,1.13408,1.46118,0.44456,0.35824,0.32605,0.16912,1.91063,2.14709,2.06296,0.0077725,0.0077725,0.0077725
20,3349.59,1.1074,1.06719,1.42788,0.4649,0.36653,0.34251,0.17841,1.90616,2.12522,2.08202,0.00764875,0.00764875,0.00764875
21,3519.44,1.05922,0.99974,1.38719,0.46356,0.35474,0.33003,0.17217,1.94188,2.19454,2.1282,0.007525,0.007525,0.007525
22,3690.48,1.00613,0.92189,1.34424,0.42683,0.37965,0.32469,0.16955,1.94955,2.24546,2.1442,0.00740125,0.00740125,0.00740125
23,3865.42,0.96911,0.86457,1.31368,0.47322,0.3549,0.33118,0.17552,1.94914,2.23254,2.1469,0.0072775,0.0072775,0.0072775
24,4040.61,0.92978,0.79988,1.27833,0.46185,0.34847,0.32721,0.17222,1.97666,2.3331,2.19252,0.00715375,0.00715375,0.00715375
25,4215.49,0.8929,0.75855,1.24837,0.42599,0.3689,0.32749,0.17323,1.97083,2.32147,2.19355,0.00703,0.00703,0.00703
26,4391.1,0.85692,0.70624,1.21972,0.45757,0.35572,0.32897,0.17289,1.96728,2.35863,2.23502,0.00690625,0.00690625,0.00690625
27,4564.92,0.83101,0.67484,1.19551,0.47322,0.34158,0.3255,0.17462,1.98172,2.44783,2.24118,0.0067825,0.0067825,0.0067825
28,4735.1,0.80056,0.63981,1.16945,0.48019,0.35428,0.33027,0.17655,1.97469,2.42509,2.28559,0.00665875,0.00665875,0.00665875
