epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.254,2.20434,3.46318,2.33688,0.18606,0.11899,0.06763,0.02518,2.45015,3.3157,2.46011,0.0670486,0.000332842,0.000332842
2,242.15,2.21398,3.3694,2.37173,0.18889,0.17159,0.09254,0.03785,2.15411,3.1008,2.18694,0.0340484,0.000666013,0.000666013
3,358.848,2.09405,3.13986,2.26044,0.26147,0.21471,0.15629,0.07096,2.10853,2.77423,2.13575,0.00104762,0.000998533,0.000998533
4,474.64,2.01369,2.91951,2.17013,0.34748,0.25812,0.20082,0.09452,1.98544,2.52775,1.98682,0.000997803,0.000997803,0.000997803
5,589.414,1.91903,2.73964,2.07695,0.40003,0.24221,0.21836,0.10831,1.92973,2.44238,1.92776,0.000996097,0.000996097,0.000996097
6,703.913,1.85302,2.564,2.01191,0.37769,0.28149,0.23686,0.11955,1.86404,2.32113,1.89234,0.000993906,0.000993906,0.000993906
7,819.279,1.7978,2.41671,1.95464,0.33562,0.31578,0.26272,0.13625,1.83578,2.23956,1.84919,0.000991232,0.000991232,0.000991232
8,934.274,1.74928,2.3294,1.91323,0.38736,0.31616,0.27739,0.14086,1.85504,2.26691,1.83791,0.000988079,0.000988079,0.000988079
9,1049.69,1.69418,2.21705,1.86274,0.38094,0.3384,0.29732,0.15282,1.84099,2.20286,1.84447,0.000984449,0.000984449,0.000984449
10,1165.25,1.6495,2.12137,1.82428,0.39324,0.35715,0.30716,0.16043,1.78542,2.05365,1.79582,0.000980345,0.000980345,0.000980345
11,1280.68,1.58661,2.0056,1.77331,0.42493,0.35494,0.31987,0.16943,1.79383,2.04317,1.82259,0.000975773,0.000975773,0.000975773
12,1396.38,1.55797,1.94278,1.74503,0.40176,0.36933,0.31939,0.16732,1.78166,2.03675,1.7972,0.000970736,0.000970736,0.000970736
13,1511.61,1.49659,1.84639,1.69784,0.42044,0.36062,0.32367,0.17126,1.78697,2.04571,1.82003,0.000965239,0.000965239,0.000965239
14,1626.32,1.45262,1.76329,1.65875,0.43292,0.35902,0.3196,0.17123,1.78229,2.04965,1.801,0.000959289,0.000959289,0.000959289
15,1740.97,1.40557,1.65255,1.61839,0.45473,0.35368,0.32582,0.16852,1.802,2.02652,1.82911,0.000952889,0.000952889,0.000952889
16,1855.8,1.35263,1.56959,1.57626,0.46159,0.36513,0.33653,0.18148,1.78179,2.01303,1.83201,0.000946048,0.000946048,0.000946048
17,1970.99,1.3015,1.48009,1.53622,0.42781,0.39288,0.34291,0.18038,1.82856,1.98056,1.87581,0.000938772,0.000938772,0.000938772
18,2086.28,1.25627,1.39558,1.49671,0.41648,0.3784,0.32691,0.1699,1.82027,2.05376,1.86563,0.000931067,0.000931067,0.000931067
19,2201.74,1.2098,1.30985,1.45636,0.42915,0.3749,0.32477,0.17271,1.85123,2.06383,1.89929,0.000922942,0.000922942,0.000922942
20,2317.06,1.16033,1.23043,1.41872,0.4175,0.38822,0.33739,0.17927,1.84413,2.00508,1.91305,0.000914405,0.000914405,0.000914405
21,2432.33,1.11587,1.15189,1.3855,0.41184,0.36898,0.31497,0.16498,1.85167,2.09711,1.93318,0.000905463,0.000905463,0.000905463
22,2547.74,1.07598,1.08582,1.34873,0.40222,0.38214,0.32027,0.16904,1.87933,2.15571,1.95306,0.000896127,0.000896127,0.000896127
23,2662.64,1.02171,1.0017,1.30939,0.42299,0.36838,0.3127,0.16404,1.89214,2.19498,1.99289,0.000886404,0.000886404,0.000886404
24,2777.73,0.98901,0.95577,1.28409,0.41921,0.35667,0.31105,0.16162,1.88068,2.20205,1.9974,0.000876305,0.000876305,0.000876305
25,2892.19,0.94674,0.8998,1.25124,0.40557,0.36167,0.31172,0.1641,1.88422,2.19791,2.01321,0.000865839,0.000865839,0.000865839
26,3006.53,0.90844,0.84391,1.22335,0.42291,0.3775,0.31998,0.16989,1.89513,2.21215,2.04776,0.000855018,0.000855018,0.000855018
27,3120.89,0.87348,0.79125,1.19552,0.38053,0.37733,0.30635,0.16216,1.91291,2.27589,2.09174,0.000843851,0.000843851,0.000843851
28,3235.86,0.84033,0.74895,1.17035,0.41597,0.36758,0.30944,0.16375,1.92379,2.27875,2.11262,0.000832349,0.000832349,0.000832349
29,3351.04,0.80867,0.7055,1.14609,0.44245,0.34368,0.30912,0.16402,1.93006,2.3112,2.1161,0.000820525,0.000820525,0.000820525
30,3466.04,0.77306,0.66253,1.11883,0.43477,0.34968,0.30424,0.16292,1.92096,2.35924,2.13942,0.000808389,0.000808389,0.000808389
31,3581.2,0.74656,0.63504,1.10141,0.42757,0.34686,0.30007,0.1601,1.94931,2.41671,2.1537,0.000795954,0.000795954,0.000795954
