epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.389,1.78139,3.10169,1.89461,0.32116,0.32572,0.24912,0.13435,1.71162,2.3169,1.65339,0.00331865,0.00331865,0.00331865
2,216.411,1.8204,2.49113,1.87624,0.22329,0.17182,0.11163,0.04634,2.17396,4.32318,2.16632,0.00658613,0.00658613,0.00658613
3,329.101,2.1103,2.99564,2.1595,0.03993,0.13554,0.01617,0.00621,2.83684,inf,3.26241,0.00978761,0.00978761,0.00978761
4,436.11,2.16639,3.14577,2.27072,0.19549,0.2034,0.08402,0.03457,2.38024,4.15904,2.37328,0.009703,0.009703,0.009703
5,542.762,2.01538,2.82527,2.13881,0.43302,0.11826,0.10557,0.04911,2.31004,3.78966,2.30459,0.009604,0.009604,0.009604
6,649.632,1.91553,2.59228,2.03937,0.32334,0.24026,0.20388,0.09676,1.98709,2.55153,1.9914,0.009505,0.009505,0.009505
7,756.628,1.83317,2.39316,1.95594,0.38538,0.27592,0.243,0.11995,1.96613,2.45734,1.9541,0.009406,0.009406,0.009406
8,863.466,1.76535,2.24958,1.90281,0.38453,0.32727,0.26939,0.1413,1.87383,2.35891,1.85244,0.009307,0.009307,0.009307
9,970.012,1.70773,2.12031,1.84562,0.40363,0.32488,0.28927,0.14937,1.88795,2.24304,1.86244,0.009208,0.009208,0.009208
10,1076.36,1.64831,1.99239,1.7918,0.40127,0.35692,0.31334,0.16235,1.82116,2.15936,1.81342,0.009109,0.009109,0.009109
11,1182.77,1.5922,1.87394,1.74189,0.41851,0.36907,0.3182,0.16625,1.8087,2.08882,1.7943,0.00901,0.00901,0.00901
12,1288.75,1.53868,1.77275,1.69518,0.43407,0.35504,0.31959,0.1693,1.81744,2.09587,1.80741,0.008911,0.008911,0.008911
13,1395.49,1.48356,1.68365,1.64992,0.44115,0.35808,0.3273,0.17514,1.82499,2.08474,1.80931,0.008812,0.008812,0.008812
14,1501.86,1.43482,1.58968,1.60675,0.43654,0.40254,0.35423,0.19013,1.78902,1.99067,1.78411,0.008713,0.008713,0.008713
15,1608.5,1.38382,1.48785,1.56552,0.42167,0.39244,0.3468,0.18695,1.80635,1.99535,1.82192,0.008614,0.008614,0.008614
16,1715.02,1.32805,1.38617,1.52077,0.44612,0.36107,0.33256,0.18242,1.81139,2.09365,1.83628,0.008515,0.008515,0.008515
17,1821.46,1.27883,1.3086,1.4857,0.4502,0.38119,0.34124,0.18304,1.81428,2.05047,1.83366,0.008416,0.008416,0.008416
18,1927.82,1.22345,1.21577,1.43541,0.46381,0.38145,0.35497,0.19019,1.82108,2.05132,1.84895,0.008317,0.008317,0.008317
19,2034.11,1.17835,1.13656,1.40047,0.46816,0.37242,0.35152,0.18629,1.81968,2.03015,1.85446,0.008218,0.008218,0.008218
20,2140.31,1.12865,1.0587,1.36233,0.45989,0.382,0.35383,0.19092,1.81922,2.06111,1.87096,0.008119,0.008119,0.008119
21,2246.93,1.08508,0.99091,1.32468,0.48103,0.3695,0.34992,0.19096,1.8194,2.09029,1.86908,0.00802,0.00802,0.00802
22,2353.26,1.03951,0.932,1.28979,0.49257,0.36936,0.35167,0.19219,1.8413,2.06239,1.91447,0.007921,0.007921,0.007921
23,2459.87,0.99516,0.8678,1.25695,0.47137,0.36527,0.34492,0.1889,1.85568,2.14672,1.93618,0.007822,0.007822,0.007822
24,2566.38,0.95623,0.82567,1.22836,0.46384,0.37036,0.34624,0.18624,1.85309,2.18311,1.94938,0.007723,0.007723,0.007723
25,2672.72,0.92276,0.77187,1.20157,0.48604,0.3698,0.34313,0.18812,1.85337,2.1722,1.96878,0.007624,0.007624,0.007624
26,2779.22,0.88612,0.73019,1.17701,0.49594,0.35853,0.34923,0.19039,1.87579,2.1738,2.01804,0.007525,0.007525,0.007525
27,2885.66,0.85261,0.68971,1.15147,0.47377,0.36885,0.34638,0.18915,1.87633,2.18956,2.02892,0.007426,0.007426,0.007426
28,2992.24,0.8241,0.6558,1.12979,0.49208,0.34604,0.33644,0.18557,1.87728,2.25536,2.03112,0.007327,0.007327,0.007327
29,3098.74,0.79317,0.62031,1.10769,0.47658,0.3708,0.34926,0.18888,1.87432,2.22207,2.04133,0.007228,0.007228,0.007228
30,3205.5,0.76433,0.59396,1.08872,0.47275,0.36844,0.34459,0.18812,1.88885,2.30086,2.05902,0.007129,0.007129,0.007129
31,3311.91,0.73749,0.56449,1.06952,0.46377,0.3755,0.34401,0.18934,1.86866,2.2857,2.06195,0.00703,0.00703,0.00703
32,3418.53,0.71314,0.54219,1.05253,0.4992,0.35834,0.35212,0.19371,1.88073,2.33192,2.09586,0.006931,0.006931,0.006931
33,3525.14,0.68959,0.5177,1.03624,0.47026,0.36501,0.34651,0.19437,1.86781,2.32869,2.10188,0.006832,0.006832,0.006832
34,3631.79,0.66543,0.49639,1.02273,0.48158,0.3511,0.33903,0.19031,1.88716,2.35883,2.14129,0.006733,0.006733,0.006733
35,3738.36,0.64919,0.47797,1.00963,0.44915,0.36372,0.34389,0.19232,1.87104,2.33729,2.13373,0.006634,0.006634,0.006634
36,3844.6,0.63336,0.46256,0.9984,0.47407,0.36513,0.34504,0.19535,1.85935,2.35403,2.11779,0.006535,0.006535,0.006535
37,3951.09,0.61216,0.44512,0.98632,0.48535,0.35448,0.34197,0.19273,1.88551,2.32865,2.16306,0.006436,0.006436,0.006436
38,4057.39,0.59326,0.42827,0.97393,0.51635,0.34799,0.34441,0.19422,1.8801,2.30922,2.18406,0.006337,0.006337,0.006337
39,4163.59,0.58033,0.41713,0.96527,0.52521,0.3505,0.34598,0.1967,1.86609,2.33577,2.16909,0.006238,0.006238,0.006238
40,4269.95,0.56335,0.40501,0.95552,0.53747,0.33442,0.34557,0.19686,1.87571,2.36831,2.1988,0.006139,0.006139,0.006139
41,4376.55,0.54969,0.38984,0.94643,0.50384,0.34973,0.34499,0.19585,1.86563,2.36392,2.19584,0.00604,0.00604,0.00604
42,4482.93,0.5365,0.38075,0.93982,0.4693,0.3635,0.34222,0.19692,1.86562,2.37314,2.20869,0.005941,0.005941,0.005941
43,4589.05,0.52047,0.37127,0.93038,0.50237,0.34391,0.34503,0.20003,1.86069,2.36321,2.19801,0.005842,0.005842,0.005842
44,4695.27,0.50962,0.36205,0.92482,0.47017,0.35776,0.3432,0.19765,1.84383,2.3801,2.19745,0.005743,0.005743,0.005743
45,4800.93,0.49665,0.35331,0.9184,0.45883,0.35201,0.3432,0.19951,1.83908,2.38698,2.19194,0.005644,0.005644,0.005644
46,4906.8,0.48462,0.3437,0.91177,0.48601,0.35298,0.34584,0.19928,1.85024,2.37082,2.22087,0.005545,0.005545,0.005545
47,5012.88,0.47669,0.33939,0.90711,0.50328,0.35586,0.35444,0.20205,1.84812,2.33895,2.22657,0.005446,0.005446,0.005446
48,5118.62,0.46342,0.32782,0.8999,0.50689,0.3475,0.34922,0.19994,1.83428,2.35145,2.22195,0.005347,0.005347,0.005347
49,5224.83,0.45225,0.31862,0.89388,0.51279,0.34327,0.35275,0.20183,1.83362,2.35563,2.22123,0.005248,0.005248,0.005248
50,5331.1,0.44503,0.31211,0.89061,0.49373,0.34984,0.34987,0.20472,1.82506,2.35565,2.23091,0.005149,0.005149,0.005149
51,5437.5,0.43502,0.30657,0.88547,0.4893,0.35251,0.35175,0.20613,1.82664,2.35108,2.23315,0.00505,0.00505,0.00505
52,5543.53,0.42289,0.29916,0.87996,0.48063,0.35746,0.35475,0.2071,1.82346,2.33512,2.23657,0.004951,0.004951,0.004951
53,5649.25,0.41418,0.29254,0.87575,0.47035,0.35981,0.35451,0.20785,1.82323,2.33832,2.24032,0.004852,0.004852,0.004852
54,5755.35,0.4059,0.28883,0.872,0.48644,0.35071,0.35367,0.20917,1.82225,2.32501,2.23823,0.004753,0.004753,0.004753
55,5861.52,0.3981,0.28394,0.8678,0.51562,0.34,0.34966,0.20829,1.81484,2.33511,2.23804,0.004654,0.004654,0.004654
56,5967.55,0.38821,0.27759,0.86388,0.50835,0.34134,0.34888,0.2083,1.81156,2.32748,2.23937,0.004555,0.004555,0.004555
57,6073.32,0.38131,0.27236,0.86106,0.5263,0.33393,0.35236,0.20999,1.81233,2.31432,2.24576,0.004456,0.004456,0.004456
58,6179.19,0.37254,0.26527,0.85744,0.52864,0.33342,0.3529,0.21055,1.81374,2.3294,2.24778,0.004357,0.004357,0.004357
59,6284.31,0.36525,0.26099,0.85376,0.5321,0.3298,0.35412,0.21108,1.80691,2.33197,2.24564,0.004258,0.004258,0.004258
60,6390.83,0.35625,0.25596,0.85016,0.54802,0.32468,0.356,0.21228,1.79979,2.32131,2.24252,0.004159,0.004159,0.004159
61,6496.92,0.3493,0.25081,0.847,0.55269,0.32303,0.35735,0.21343,1.79714,2.32551,2.24248,0.00406,0.00406,0.00406
62,6602.93,0.34107,0.24677,0.84425,0.52371,0.33212,0.35702,0.21322,1.7969,2.31665,2.24542,0.003961,0.003961,0.003961
