epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.469,1.79444,3.03097,1.90557,0.35115,0.29951,0.24775,0.13882,1.66657,2.38402,1.57864,0.00332842,0.00332842,0.00332842
2,240.058,1.871,2.5955,1.93485,0.29639,0.219,0.16664,0.07598,2.03013,2.84211,1.92445,0.00659581,0.00659581,0.00659581
3,355.064,2.04508,2.89646,2.12485,0.21112,0.14041,0.08428,0.03835,2.29638,3.40075,2.24973,0.00979719,0.00979719,0.00979719
4,469.516,2.09283,3.00854,2.20771,0.27438,0.20608,0.15151,0.06721,2.10286,2.93579,2.09557,0.009703,0.009703,0.009703
5,583.797,1.97332,2.77024,2.11117,0.30243,0.26987,0.21227,0.10489,1.95899,2.47856,1.9607,0.009604,0.009604,0.009604
6,698.201,1.87787,2.55058,2.01873,0.35348,0.291,0.25099,0.12763,1.85295,2.32174,1.87454,0.009505,0.009505,0.009505
7,812.901,1.80622,2.37618,1.95109,0.39777,0.32385,0.2806,0.1481,1.83995,2.17845,1.84415,0.009406,0.009406,0.009406
8,926.916,1.73715,2.22314,1.8983,0.39441,0.29558,0.27879,0.14876,1.80647,2.19615,1.80642,0.009307,0.009307,0.009307
9,1041.18,1.67921,2.10681,1.84139,0.4139,0.34041,0.313,0.16901,1.80249,2.08581,1.80863,0.009208,0.009208,0.009208
10,1155.32,1.61654,1.97161,1.78505,0.44318,0.34538,0.33461,0.18568,1.74846,2.05103,1.77493,0.009109,0.009109,0.009109
11,1269.82,1.55892,1.85823,1.73668,0.42007,0.3538,0.3153,0.17037,1.74942,2.05013,1.77817,0.00901,0.00901,0.00901
12,1383.69,1.51829,1.76372,1.70222,0.45123,0.37119,0.34747,0.19177,1.75424,1.98465,1.77359,0.008911,0.008911,0.008911
13,1497.62,1.45873,1.66298,1.65603,0.43654,0.3791,0.34672,0.19064,1.74253,1.91468,1.76414,0.008812,0.008812,0.008812
14,1611.87,1.41024,1.56904,1.61255,0.44603,0.39076,0.35102,0.19139,1.74668,1.92582,1.76661,0.008713,0.008713,0.008713
15,1726.17,1.35383,1.46719,1.56435,0.43406,0.39617,0.35859,0.1984,1.75319,1.95499,1.78174,0.008614,0.008614,0.008614
16,1840.35,1.3043,1.36999,1.52462,0.44344,0.38154,0.34936,0.18993,1.78735,1.98758,1.80768,0.008515,0.008515,0.008515
17,1954.69,1.25349,1.28332,1.48319,0.46621,0.3764,0.35546,0.18901,1.77936,1.96183,1.82807,0.008416,0.008416,0.008416
18,2068.15,1.20285,1.20472,1.44118,0.44308,0.4012,0.35819,0.1947,1.78842,1.97921,1.83003,0.008317,0.008317,0.008317
19,2181.3,1.15494,1.12781,1.40245,0.42596,0.38627,0.35475,0.19468,1.78396,1.98646,1.85285,0.008218,0.008218,0.008218
20,2295.86,1.1115,1.05207,1.36841,0.45851,0.38533,0.35834,0.19574,1.81604,2.01093,1.89171,0.008119,0.008119,0.008119
21,2409.95,1.06691,0.97781,1.33274,0.45267,0.36181,0.34248,0.19175,1.79868,2.04342,1.86713,0.00802,0.00802,0.00802
22,2523.94,1.02267,0.91631,1.29897,0.48405,0.34744,0.33642,0.18455,1.81196,2.08782,1.92289,0.007921,0.007921,0.007921
23,2638.25,0.97927,0.86219,1.26507,0.44341,0.35118,0.33036,0.18376,1.83087,2.14689,1.93037,0.007822,0.007822,0.007822
24,2752.72,0.95055,0.81339,1.24215,0.4215,0.38802,0.34262,0.18911,1.82086,2.15942,1.93412,0.007723,0.007723,0.007723
25,2867.21,0.90905,0.7607,1.20743,0.45232,0.36981,0.33699,0.18534,1.84137,2.15355,1.97438,0.007624,0.007624,0.007624
26,2981.7,0.87395,0.7229,1.18214,0.44442,0.36635,0.33969,0.1885,1.83533,2.20103,1.98381,0.007525,0.007525,0.007525
27,3096.19,0.84174,0.68062,1.15801,0.43505,0.3875,0.33876,0.18957,1.84903,2.20983,2.00794,0.007426,0.007426,0.007426
28,3210.6,0.81421,0.64506,1.13769,0.4888,0.35264,0.34436,0.19107,1.86788,2.26691,2.02741,0.007327,0.007327,0.007327
29,3325.07,0.78387,0.61322,1.11477,0.4417,0.3731,0.34183,0.18924,1.86953,2.30207,2.03702,0.007228,0.007228,0.007228
30,3439.39,0.75725,0.58192,1.09495,0.4742,0.35695,0.34071,0.192,1.86105,2.29398,2.04541,0.007129,0.007129,0.007129
