epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.177,1.80143,3.08413,1.9137,0.33375,0.29534,0.21725,0.121,1.67461,2.31006,1.64719,0.00332842,0.00332842,0.00332842
2,239.747,1.8957,2.68541,1.97215,0.25383,0.29352,0.21531,0.10431,1.88465,2.5524,1.85349,0.00659581,0.00659581,0.00659581
3,355.393,2.08866,3.04191,2.18684,0.21578,0.19886,0.11478,0.05092,2.18477,3.36877,2.18066,0.00979719,0.00979719,0.00979719
4,470.41,2.14098,3.19343,2.27293,0.27971,0.24334,0.16901,0.0786,2.05242,2.6605,2.06794,0.009703,0.009703,0.009703
5,584.894,2.01934,2.93419,2.1634,0.32113,0.24237,0.20294,0.09626,2.02324,2.57704,1.98795,0.009604,0.009604,0.009604
6,697.969,1.94032,2.71378,2.08572,0.34199,0.28252,0.22947,0.11688,1.88725,2.38029,1.91392,0.009505,0.009505,0.009505
7,812.083,1.88474,2.54665,2.02423,0.39499,0.30005,0.26704,0.14174,1.83572,2.25817,1.82217,0.009406,0.009406,0.009406
8,926.411,1.8233,2.42415,1.96595,0.40391,0.3356,0.3004,0.16283,1.78266,2.16479,1.78599,0.009307,0.009307,0.009307
9,1041.36,1.77988,2.30382,1.93571,0.43059,0.31672,0.30144,0.16759,1.79162,2.13179,1.79249,0.009208,0.009208,0.009208
10,1154.76,1.73261,2.20392,1.88776,0.43157,0.34378,0.32989,0.18152,1.75179,2.05102,1.74825,0.009109,0.009109,0.009109
11,1269.09,1.69285,2.11518,1.85333,0.43583,0.35535,0.33687,0.18585,1.7253,1.98191,1.74379,0.00901,0.00901,0.00901
12,1384.14,1.67151,2.05667,1.83047,0.46308,0.34945,0.34321,0.19244,1.71948,1.99145,1.72845,0.008911,0.008911,0.008911
13,1497.93,1.62546,1.9736,1.79737,0.47239,0.37074,0.36287,0.20535,1.68369,1.90051,1.71771,0.008812,0.008812,0.008812
14,1612.01,1.59879,1.90824,1.76837,0.47578,0.38077,0.35754,0.1995,1.69869,1.91654,1.71434,0.008713,0.008713,0.008713
15,1727,1.57075,1.83667,1.74495,0.46026,0.39511,0.37637,0.21236,1.68204,1.8909,1.6977,0.008614,0.008614,0.008614
16,1841.22,1.54274,1.75661,1.71888,0.49376,0.37854,0.37502,0.21585,1.6763,1.8897,1.69737,0.008515,0.008515,0.008515
17,1955.42,1.51299,1.70987,1.69428,0.48866,0.39186,0.38313,0.21982,1.66835,1.8574,1.6924,0.008416,0.008416,0.008416
18,2069.91,1.48972,1.65589,1.67002,0.48226,0.39863,0.38348,0.21662,1.6696,1.86764,1.69652,0.008317,0.008317,0.008317
19,2183.21,1.45751,1.58374,1.64495,0.4823,0.40755,0.39276,0.22401,1.65441,1.79778,1.67957,0.008218,0.008218,0.008218
20,2297.88,1.42742,1.53959,1.62225,0.49104,0.41185,0.40683,0.23013,1.6658,1.81668,1.70352,0.008119,0.008119,0.008119
21,2411.87,1.40097,1.48241,1.59695,0.44601,0.40975,0.38702,0.22276,1.65385,1.83918,1.68687,0.00802,0.00802,0.00802
22,2526.07,1.37774,1.43899,1.57904,0.51051,0.4071,0.39697,0.22813,1.66946,1.82087,1.70268,0.007921,0.007921,0.007921
23,2640.48,1.34958,1.38677,1.55067,0.46635,0.42384,0.39988,0.2306,1.68157,1.8443,1.70682,0.007822,0.007822,0.007822
24,2754.83,1.32588,1.33871,1.53182,0.48585,0.40654,0.3942,0.22492,1.66417,1.82557,1.68841,0.007723,0.007723,0.007723
25,2869.31,1.29599,1.29086,1.50796,0.51274,0.40005,0.40103,0.23252,1.67294,1.83449,1.71215,0.007624,0.007624,0.007624
26,2982.97,1.27574,1.24445,1.49068,0.48683,0.40359,0.39255,0.22338,1.67477,1.84704,1.71652,0.007525,0.007525,0.007525
27,3097.82,1.24972,1.20414,1.46788,0.49573,0.41682,0.40117,0.22963,1.69095,1.82848,1.73659,0.007426,0.007426,0.007426
28,3211.17,1.229,1.1642,1.45262,0.51406,0.40137,0.40154,0.23231,1.68005,1.85892,1.73435,0.007327,0.007327,0.007327
29,3325.49,1.19155,1.11147,1.42373,0.51435,0.39625,0.40258,0.23067,1.69506,1.86157,1.74111,0.007228,0.007228,0.007228
30,3439.48,1.16925,1.08386,1.40392,0.49822,0.41819,0.4064,0.23394,1.69963,1.86907,1.74047,0.007129,0.007129,0.007129
31,3553.92,1.14772,1.04561,1.38683,0.49808,0.4129,0.40049,0.23206,1.69944,1.86697,1.75142,0.00703,0.00703,0.00703
32,3667.88,1.11844,1.00118,1.36293,0.48051,0.43012,0.3991,0.2325,1.71411,1.8564,1.77654,0.006931,0.006931,0.006931
33,3781.07,1.09754,0.966,1.34592,0.51123,0.40952,0.39598,0.22432,1.71985,1.89645,1.79427,0.006832,0.006832,0.006832
34,3895.04,1.07509,0.93418,1.3286,0.49683,0.40456,0.3907,0.22732,1.72447,1.9338,1.79515,0.006733,0.006733,0.006733
35,4009.29,1.05103,0.89481,1.30982,0.4912,0.40272,0.38537,0.22461,1.71795,1.94552,1.80176,0.006634,0.006634,0.006634
36,4123.43,1.02679,0.86589,1.2894,0.52933,0.39679,0.40149,0.23203,1.7307,1.93399,1.81058,0.006535,0.006535,0.006535
37,4237.35,1.00347,0.83318,1.2736,0.51126,0.3968,0.39208,0.22749,1.7313,1.94392,1.82084,0.006436,0.006436,0.006436
38,4351.64,0.98479,0.80957,1.25862,0.53765,0.3904,0.40365,0.23211,1.73126,1.94779,1.82568,0.006337,0.006337,0.006337
39,4464.73,0.96649,0.78271,1.24488,0.51466,0.41055,0.39955,0.23237,1.75219,1.92999,1.84864,0.006238,0.006238,0.006238
40,4578.99,0.94604,0.76042,1.22834,0.52073,0.39094,0.39371,0.22915,1.73505,1.96872,1.84906,0.006139,0.006139,0.006139
41,4692.85,0.92717,0.73507,1.21266,0.51081,0.40525,0.39222,0.22662,1.75105,1.99206,1.8604,0.00604,0.00604,0.00604
42,4807.18,0.90667,0.71467,1.19814,0.49185,0.41191,0.38887,0.22724,1.75204,2.00993,1.86786,0.005941,0.005941,0.005941
43,4921.47,0.88651,0.68845,1.18381,0.49717,0.3954,0.38771,0.2237,1.7675,2.03836,1.88997,0.005842,0.005842,0.005842
44,5035.91,0.8708,0.66855,1.17056,0.50539,0.39742,0.38992,0.22497,1.77666,2.05823,1.91235,0.005743,0.005743,0.005743
45,5150.3,0.85019,0.64649,1.15738,0.49571,0.41952,0.38868,0.22887,1.76883,2.06768,1.91253,0.005644,0.005644,0.005644
